Rank,EntryId,EntryName,Points,Player,Roster Position,Drafted,FPTS,,,,,,,,
26,1063584700,delongjn414,85.14999,Rhys Hoskins,OF,13.24,11,Mike Clevinger,Jameson Taillon,John Hicks,Miguel Cabrera,Neil Walker,Jeimer Candelario,Xander Bogaerts,"Nicholas Castellanos,Leonys Martin,Hernan Perez"
27,1063672699,scout326,84.5,Xander Bogaerts,SS,11.76,3,Jake Arrieta,Jose Quintana,Austin Romine,Yonder Alonso,Jace Peterson,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Michael Brantley,Bradley Zimmer"
28,1063710714,JBP126,84.15,Welington Castillo,C,11.76,0,Mike Clevinger,Luke Weaver,Yan Gomes,Yonder Alonso,Jason Kipnis,Maikel Franco,Francisco Lindor,"Rhys Hoskins,Michael Brantley,Nick Williams"
29,1063677515,ehafner,82.55,Addison Russell,SS,11.76,0,Jake Arrieta,Reynaldo Lopez,Willson Contreras,Jose Abreu,Yoan Moncada,Kris Bryant,Addison Russell,"Avisail Garcia,Ben Zobrist,Albert Almora"
29,1063703588,nswodeck,82.55,J.D. Martinez,OF,10.29,0,Charlie Morton,Luke Weaver,Victor Caratini,Jose Abreu,Neil Walker,Alex Bregman,Manny Machado,"Giancarlo Stanton,Avisail Garcia,Domingo Santana"
31,1063679823,ChipotleAddict,82,Eduardo Rodriguez,P,10.29,12.05,Jose Quintana,Mike Fiers,Willson Contreras,Paul Goldschmidt,Jason Kipnis,Kris Bryant,Francisco Lindor,"Kyle Schwarber,Michael Brantley,Bradley Zimmer"
32,1063656177,crclngthdrn,81.55,Mike Clevinger,P,10.29,15.3,Charlie Morton,Luke Weaver,Willson Contreras,Daniel Descalso,Jason Kipnis,Kris Bryant,Xander Bogaerts,"Brett Gardner,Michael Brantley,Dexter Fowler"
33,1063614994,moklovin,81.35,Maikel Franco,3B,10.29,3,Jose Quintana,Luke Weaver,Willson Contreras,Neil Walker,Jason Kipnis,Kris Bryant,Francisco Lindor,"Giancarlo Stanton,Michael Brantley,Domingo Santana"
34,1063648374,klennon70,79.39999,Jose Abreu,1B,10.29,2,Jameson Taillon,Reynaldo Lopez,Welington Castillo,Carlos Santana,Jose Altuve,Christian Villanueva,Manny Machado,"J.D. Martinez,Tommy Pham,Nick Williams"
35,1063697291,jmoskal88,78.55,Edwin Encarnacion,1B,8.82,0,Charlie Morton,Luke Weaver,Yadier Molina,Matt Carpenter,Yolmer Sanchez,Matt Davidson,Ronald Torreyes,"Aaron Judge,J.D. Martinez,Jose Martinez"
36,1063584371,papagates,77,Carlos Santana,1B,8.82,2,Jose Quintana,Mike Fiers,Willson Contreras,Edwin Encarnacion,Jason Kipnis,Kris Bryant,Francisco Lindor,"Kyle Schwarber,Billy Hamilton,Bradley Zimmer"
