Rank,EntryId,EntryName,EntryPoints,Player,Position,PercentDrafted,PlayerPoints,Pitcher1,Pitcher2,Catcher,FirstBase,SecondBase,ThirdBase,ShortStop,Outfield1,Outfield2,Outfield3,ContestDate,ContestName,ContestId,ContestFee,Winnings
0.0,0.0,NA,0.0,Josh Reddick,OF,10.0,19.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,Evan Gattis,C,10.0,0.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,Eric Hosmer,1B,10.0,0.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,Rhys Hoskins,OF,10.0,11.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,Carlos Santana,1B,10.0,2.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,C?sar Hern?ndez,2B,10.0,9.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,Od?bel Herrera,OF,10.0,12.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,J.P. Crawford,SS,10.0,0.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,Jos? Abreu,1B,10.0,2.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,Yo?n Moncada,2B,10.0,0.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,Avisa?l Garc?a,OF,10.0,6.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,Mookie Betts,OF,10.0,16.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,J.D. Martinez,OF,10.0,0.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,Andrew Benintendi,OF,10.0,7.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,Xander Bogaerts,SS,10.0,3.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,Hanley Ramirez,1B,10.0,14.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,Miguel And?jar,3B,10.0,14.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
