Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
102,1063156166,scout326 (5/15),0,99.2,P Charlie Morton P José Quintana OF Giancarlo Stanton 1B José Abreu 2B Yoán Moncada OF Brett Gardner OF Avisaíl García SS Ronald Torreyes C Austin Romine 3B Jace Peterson,,Rafael Devers,3B,1.80%,13
102,1063213500,reztes757 (3/3),0,99.2,P Charlie Morton P Taijuan Walker 1B Paul Goldschmidt OF David Peralta OF Josh Reddick OF Brett Gardner SS Ketel Marte 2B Neil Walker C Alex Avila 3B Daniel Descalso,,Francisco Cervelli,C,1.80%,2
104,1063309714,jeremyshow (2/3),0,98.75,P Mike Clevinger P Jameson Taillon 3B Matt Davidson 1B José Abreu 2B Yoán Moncada OF Tommy Pham C Yadier Molina OF Kevin Kiermaier OF Dexter Fowler SS Daniel Robertson,,Trevor Richards,P,1.80%,1.6
105,1063108462,youdacao (8/15),0,98.55,P Charlie Morton P Luke Weaver OF Kyle Schwarber 1B Carlos Santana C Willson Contreras 3B Alex Bregman SS Addison Russell 2B Ben Zobrist OF Albert Almora Jr. OF Nick Williams,,Whit Merrifield,2B,1.60%,3
105,1063274042,mariob888 (2/2),0,98.55,P Jake Arrieta P Reynaldo López OF Rhys Hoskins OF Aaron Judge SS Manny Machado 3B Maikel Franco 2B Jonathan Schoop 1B Tyler Austin OF Odúbel Herrera C Manny Piña,,Adam Duvall,OF,1.60%,0
105,1063530962,bquicksix (2/3),0,98.55,P Charlie Morton P Luke Weaver 2B José Altuve SS Carlos Correa OF George Springer 1B Jesús Aguilar OF Domingo Santana OF Derek Fisher C Max Stassi 3B Danny Valencia,,Yolmer Sánchez,3B,1.60%,0
108,1063141029,jdoc74,0,98.05,P Tyler Mahle P Reynaldo López OF Mookie Betts 2B José Ramírez OF A.J. Pollock OF Starling Marte 3B Manny Machado SS Addison Russell 1B Tyler Austin C Yadier Molina,,Derek Fisher,OF,1.60%,3
109,1063386669,jontlevy,0,97.85,P Jake Arrieta P Luke Weaver OF Aaron Judge SS Francisco Lindor 2B José Ramírez OF Brett Gardner 3B Maikel Franco OF Michael Brantley 1B Tyler Austin C Yan Gomes,,Mitch Moreland,1B,1.60%,9
110,1063134468,ineedmoney23,0,97.55,P Charlie Morton P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Xander Bogaerts OF Brett Gardner 2B Neil Walker 1B Mitch Moreland C Manny Piña 3B Jace Peterson,,Jonathan Villar,2B,1.40%,5
111,1063275917,kingpuba33,0,97.5,P Jake Arrieta P José Quintana OF Andrew Benintendi SS Francisco Lindor 2B José Ramírez OF Marwin González C Yan Gomes 1B Matt Carpenter OF Trey Mancini 3B Danny Valencia,,Nicholas Castellanos,OF,1.40%,0
112,1063484879,marcf,0,97.39999,P Jameson Taillon P Reynaldo López OF Aaron Judge SS Francisco Lindor 3B José Ramírez 1B José Abreu OF Avisaíl García C Welington Castillo 2B Neil Walker OF Nicky Delmonico,,Miguel Cabrera,1B,1.40%,2
113,1063467302,Awesemo (7/15),0,97.35,P José Quintana P Luke Weaver OF Mookie Betts OF J.D. Martinez OF Andrew Benintendi 1B Joey Votto 3B Rafael Devers SS Eduardo Núñez 2B Scooter Gennett C Tucker Barnhart,,Leonys Martin,OF,1.40%,15
114,1063171872,TheGrinder24,0,97.2,P Charlie Morton P Mike Fiers 2B José Altuve 1B Paul Goldschmidt OF A.J. Pollock SS Eduardo Núñez 3B Mike Moustakas C Yadier Molina OF Billy Hamilton OF Dexter Fowler,,David Peralta,OF,1.40%,19
115,1063444908,Wreck-Havoc-22 (1/5),0,96.95,P Mike Clevinger P Eduardo Rodríguez OF Giancarlo Stanton OF Aaron Judge 1B Edwin Encarnacion 2B Neil Walker C Max Stassi OF Niko Goodrum 3B Miguel Andújar SS Ronald Torreyes,,Bryan Holaday,C,1.40%,5
116,1063483458,Tommyg1979 (2/2),0,96.6,P Eduardo Rodríguez P Reynaldo López OF Mookie Betts OF J.D. Martinez OF Andrew Benintendi 2B José Ramírez SS Xander Bogaerts 1B Hanley Ramirez 3B Miguel Andújar C Victor Caratini,,Christian Vázquez,C,1.40%,10
117,1063477816,ehafner (10/15),0,96.55,P Jake Arrieta P Reynaldo López OF Rhys Hoskins 3B Kris Bryant 1B Carlos Santana C Willson Contreras 2B César Hernández OF Ben Zobrist OF Albert Almora Jr. SS J.P. Crawford,,Alex Avila,C,1.40%,0
117,1063508839,wilson1 (2/2),0,96.55,P Charlie Morton P Luke Weaver 2B José Altuve SS Carlos Correa 3B Alex Bregman OF Brett Gardner OF Domingo Santana 1B Neil Walker OF Albert Almora Jr. C Max Stassi,,Chase Anderson,P,1.40%,9.3
117,1063530519,extoneagles,0,96.55,P Charlie Morton P Jameson Taillon 3B Kris Bryant SS Manny Machado OF Marcell Ozuna OF Tommy Pham 2B Neil Walker 1B Matt Carpenter OF Dexter Fowler C Victor Caratini,,Jeimer Candelario,3B,1.40%,0
120,1063517071,McJester (1/4),0,96.4,P Reynaldo López P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Carlos Correa OF George Springer C Willson Contreras 1B Marwin González 2B Scooter Gennett 3B Miguel Andújar,,Starling Marte,OF,1.20%,7
121,1062996448,ChipotleAddict (15/15),0,96.05,P José Quintana P Reynaldo López SS Francisco Lindor OF Kyle Schwarber 3B José Ramírez 1B Yonder Alonso C Willson Contreras OF Tommy Pham OF Michael Brantley 2B Ben Zobrist,,Tyler Naquin,OF,1.20%,3
122,1063253088,dandydon (2/5),0,95.55,P Charlie Morton P Luke Weaver 3B Kris Bryant OF Ryan Braun C Willson Contreras SS Addison Russell 1B Jesús Aguilar OF Domingo Santana 2B Ben Zobrist OF Albert Almora Jr.,,Gregory Polanco,OF,1.20%,19
122,1063475091,thepickler (2/2),0,95.55,P Eduardo Rodríguez P Mike Fiers OF Rhys Hoskins 3B Kris Bryant OF Kyle Schwarber 1B Carlos Santana C Willson Contreras SS Addison Russell OF Odúbel Herrera 2B Ben Zobrist,,Miguel Rojas,SS,1.20%,18
124,1063184877,bryito12 (3/5),0,95.35,P José Quintana P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Carlos Correa 3B Alex Bregman OF Brett Gardner 1B Tyler Austin 2B Neil Walker C Francisco Cervelli,,Jason Heyward,OF,1.00%,7
125,1063232734,davewiff (4/6),0,95.2,P Charlie Morton P José Quintana OF Giancarlo Stanton 3B Kris Bryant OF Derek Dietrich 2B Neil Walker 1B Justin Bour OF Lewis Brinson SS Miguel Rojas C Bryan Holaday,,Eugenio Suárez,3B,1.00%,2
126,1063435692,dahladino (2/10),0,94.9,P Eduardo Rodríguez P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant C Willson Contreras SS Addison Russell 1B Tyler Austin 2B Neil Walker OF Albert Almora Jr.,,Caleb Joseph,C,1.00%,2
126,1063435693,dahladino (3/10),0,94.9,P Eduardo Rodríguez P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Francisco Lindor 1B Edwin Encarnacion OF Brett Gardner C Yan Gomes 2B Neil Walker 3B Miguel Andújar,,Orlando Arcia,SS,1.00%,0
126,1063435694,dahladino (4/10),0,94.9,P Eduardo Rodríguez P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Francisco Lindor OF Brett Gardner 2B Jason Kipnis C Yan Gomes 1B Neil Walker 3B Miguel Andújar,,A.J. Pollock,OF,1.00%,24
129,1063404657,TheCrowsNest,0,94.45,P Jameson Taillon P Trevor Richards OF Giancarlo Stanton OF Aaron Judge OF Mookie Betts 1B Matt Davidson SS Manny Machado C Yadier Molina 3B Christian Villanueva 2B Niko Goodrum,,Ketel Marte,SS,1.00%,3
129,1063477821,ehafner (15/15),0,94.45,P Mike Clevinger P Reynaldo López OF Giancarlo Stanton SS Francisco Lindor 2B José Ramírez OF Brett Gardner OF Michael Brantley 1B Neil Walker 3B Miguel Andújar C Austin Romine,,Braxton Lee,OF,1.00%,7
131,1063418250,bruiza,0,94.4,P Reynaldo López P Luke Weaver OF Aaron Judge OF Mookie Betts OF J.D. Martinez 1B Edwin Encarnacion 3B José Ramírez SS Xander Bogaerts 2B Neil Walker C Victor Caratini,,Jon Jay,OF,0.80%,14
132,1063498067,bobbyc0cktails,0,93.7,P Jameson Taillon P Luke Weaver OF Giancarlo Stanton 2B José Altuve OF Aaron Judge SS Carlos Correa 3B Alex Bregman 1B Marwin González C Bryan Holaday OF Braxton Lee,,Kevin Kiermaier,OF,0.80%,12
133,1063142747,Bird77,0,93.55,P Charlie Morton P Luke Weaver OF Rhys Hoskins 3B Matt Davidson 1B Carlos Santana 2B César Hernández C Welington Castillo OF Odúbel Herrera OF Dexter Fowler SS Ronald Torreyes,,Daniel Descalso,3B,0.80%,0
134,1063240724,Vongole,0,93.35,P José Quintana P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Carlos Correa 3B Manny Machado OF Adam Jones 2B Jonathan Schoop 1B Trey Mancini C Francisco Cervelli,,Josh Bell,1B,0.80%,5
135,1063568076,1967spike,0,93.25,P Charlie Morton P Reynaldo López 3B Kris Bryant SS Carlos Correa 1B Edwin Encarnacion OF Brett Gardner OF Derek Fisher OF Bradley Zimmer C Max Stassi 2B Ronald Torreyes,,Jordy Mercer,SS,0.80%,7
136,1063079623,TBAP (1/2),0,93.2,P Charlie Morton P José Quintana OF Nicholas Castellanos SS Tim Anderson 2B Whit Merrifield OF Avisaíl García 3B Mike Moustakas C Welington Castillo OF Jon Jay 1B Lucas Duda,,Tim Beckham,SS,0.80%,12
136,1063175932,moklovin (3/5),0,93.2,P Charlie Morton P Mike Fiers OF Giancarlo Stanton 3B Kris Bryant OF Ryan Braun SS Addison Russell 2B Ben Zobrist 1B Neil Walker OF Albert Almora Jr. C Victor Caratini,,Josh Harrison,2B,0.80%,10
138,1063266222,michael203,0,92.8,P José Quintana P Chase Anderson OF Giancarlo Stanton 3B José Ramírez OF Gregory Polanco SS Manny Machado 2B Jonathan Schoop OF Corey Dickerson 1B Trey Mancini C Francisco Cervelli,,Eric Hosmer,1B,0.60%,0
139,1063561009,CoachS111,0,92.75,P Mike Clevinger P Luke Weaver OF Aaron Judge SS Carlos Correa OF George Springer C Evan Gattis 2B Neil Walker 1B Mitch Moreland OF Dexter Fowler 3B Danny Valencia,,Starlin Castro,2B,0.60%,8
140,1063061516,rdk5042,0,92.7,P Jameson Taillon P Luke Weaver OF Giancarlo Stanton SS Carlos Correa OF George Springer 3B Manny Machado OF Brett Gardner 2B Jonathan Schoop 1B Matt Carpenter C Jesús Sucre,,Daniel Robertson,SS,0.60%,19
141,1063577718,ryanmax (1/3),0,92.6,P Charlie Morton P Mike Clevinger 3B Alex Bregman SS Tim Anderson OF Michael Brantley OF Domingo Santana OF Odúbel Herrera 2B Neil Walker 1B Mitch Moreland C Victor Caratini,,Alex Gordon,OF,0.40%,3
142,1063253090,dandydon (4/5),0,92.55,P Charlie Morton P Luke Weaver 3B Kris Bryant OF Lorenzo Cain OF Ryan Braun C Willson Contreras 1B Jesús Aguilar OF Domingo Santana 2B Ben Zobrist SS Orlando Arcia,,Anthony Santander,OF,0.40%,24
143,1063227195,BarOfSoap,0,92.35,P José Quintana P Luke Weaver OF Giancarlo Stanton 2B José Altuve SS Carlos Correa 3B Alex Bregman OF Brett Gardner 1B Tyler Austin OF Derek Fisher C Austin Romine,,Craig Gentry,OF,0.40%,23
144,1063307391,megladon,0,92.05,P Tyler Mahle P Reynaldo López OF Rhys Hoskins OF Mookie Betts OF J.D. Martinez SS Xander Bogaerts 1B Hanley Ramirez 3B Maikel Franco C Max Stassi 2B Ronald Torreyes,,Christian Villanueva,3B,0.40%,0
145,1063445708,yolegacy (5/9),0,91.55,P José Quintana P Eduardo Rodríguez 3B Kris Bryant OF Kyle Schwarber SS Xander Bogaerts C Willson Contreras 1B José Martínez OF Ben Zobrist 2B Neil Walker OF Albert Almora Jr.,,José Iglesias,SS,0.40%,0
146,1063271155,BBoschetti,0,91.5,P Jake Arrieta P Tyler Mahle OF Rhys Hoskins SS Xander Bogaerts 1B Carlos Santana C Willson Contreras 3B Mike Moustakas OF Odúbel Herrera 2B Ben Zobrist OF Leonys Martin,,John Hicks,C,0.40%,0
147,1063579809,SamENole (2/3),0,91.39999,P Jameson Taillon P Jordan Montgomery OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant OF Brett Gardner SS Addison Russell 1B Tyler Austin 2B Neil Walker C Victor Caratini,,Brian Anderson,3B,0.40%,13
148,1063206633,reztes757 (1/3),0,91.2,P Charlie Morton P Taijuan Walker OF A.J. Pollock 1B José Abreu OF David Peralta 2B Yoán Moncada SS Ketel Marte C Alex Avila OF Nicky Delmonico 3B Daniel Descalso,,Didi Gregorius,SS,0.20%,7
149,1063302950,artgon2,0,91.05,P Tyler Mahle P Reynaldo López OF Aaron Judge SS Xander Bogaerts OF Starling Marte 3B Manny Machado OF Josh Reddick 2B Starlin Castro C Welington Castillo 1B Tyler Austin,,Lewis Brinson,OF,0.20%,0
150,1063196207,ubrcuilnsa,0,90.75,P Charlie Morton P Eduardo Rodríguez OF Rhys Hoskins SS Xander Bogaerts 1B Carlos Santana 3B Maikel Franco OF Odúbel Herrera C Christian Vázquez OF Nick Williams 2B Jace Peterson,,Brad Miller,2B,0.20%,7
151,1063108457,youdacao (3/15),0,90.35,P Jameson Taillon P José Quintana 3B Kris Bryant 1B Matt Davidson SS Manny Machado OF Avisaíl García 2B Jonathan Schoop C Welington Castillo OF Nicky Delmonico OF Leury García,,Ian Happ,OF,0.20%,0
151,1063108466,youdacao (12/15),0,90.35,P José Quintana P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Manny Machado OF Adam Jones 2B Jonathan Schoop 1B Trey Mancini OF Albert Almora Jr. C Caleb Joseph,,Jorge Soler,OF,0.20%,11
151,1063226107,davewiff (1/6),0,90.35,P José Quintana P Luke Weaver 3B Kris Bryant OF Kyle Schwarber 1B José Abreu C Willson Contreras 2B Yoán Moncada SS Addison Russell OF Avisaíl García OF Ben Zobrist,,Adeiny Hechavarria,SS,0.20%,5
151,1063554462,squirrelpatroldk (1/3),0,90.35,P José Quintana P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 3B Matt Davidson 1B José Abreu OF Brett Gardner C Welington Castillo 2B Neil Walker SS Ronald Torreyes,,Manuel Margot,OF,0.20%,8
155,1063477813,ehafner (7/15),0,90.05,P José Quintana P Reynaldo López 3B Kris Bryant SS Francisco Lindor 1B Edwin Encarnacion 2B José Ramírez C Willson Contreras OF Michael Brantley OF Albert Almora Jr. OF Bradley Zimmer,,Austin Hedges,C,0.20%,2
156,1063070448,MESBRO,0,89.9,P Eduardo Rodríguez P Luke Weaver OF Rhys Hoskins OF Aaron Judge SS Carlos Correa 1B Carlos Santana 2B César Hernández 3B Maikel Franco C Yadier Molina OF Odúbel Herrera,,Kolten Wong,2B,0.20%,8
157,1063280254,REDCOAT85 (10/15),0,89.7,P Charlie Morton P Jake Arrieta OF Giancarlo Stanton OF Aaron Judge OF Domingo Santana 1B Matt Carpenter 2B Jonathan Villar SS Ronald Torreyes C Austin Romine 3B Jace Peterson,,Rob Refsnyder,OF,0.20%,4
157,1063517323,shanksalot (2/3),0,89.7,P Charlie Morton P Jake Arrieta 3B Kris Bryant C Willson Contreras SS Paul DeJong OF Marcell Ozuna 1B Matt Carpenter OF Dexter Fowler 2B Kolten Wong OF Craig Gentry,,Colin Moran,3B,0.20%,6
159,1063115428,madoublet98 (1/2),0,89.35,P José Quintana P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Carlos Correa C Willson Contreras OF Brett Gardner OF Domingo Santana 2B Neil Walker 1B Trey Mancini,,,,,
159,1063277546,REDCOAT85 (7/15),0,89.35,P José Quintana P Luke Weaver OF Rhys Hoskins 3B Kris Bryant SS Carlos Correa 1B Carlos Santana 2B César Hernández C Evan Gattis OF Odúbel Herrera OF Nick Williams,,,,,
159,1063467308,Awesemo (13/15),0,89.35,P José Quintana P Luke Weaver SS Francisco Lindor 1B Edwin Encarnacion OF Kyle Schwarber 3B José Ramírez C Willson Contreras 2B Jason Kipnis OF Ben Zobrist OF Tyler Naquin,,,,,
162,1063435699,dahladino (9/10),0,88.85,P Jake Arrieta P Luke Weaver OF Rhys Hoskins SS Francisco Lindor 3B José Ramírez 1B Yonder Alonso 2B Jason Kipnis C Yan Gomes OF Odúbel Herrera OF Nick Williams,,,,,
163,1063549763,englishpea,0,88.55,P Jake Arrieta P Jordan Montgomery OF Rhys Hoskins 3B Kris Bryant 1B Carlos Santana C Willson Contreras 2B Josh Harrison OF Odúbel Herrera OF Ben Zobrist SS Jordy Mercer,,,,,
164,1063024484,papagates (13/15),0,88,P José Quintana P Mike Fiers 3B Kris Bryant OF Kyle Schwarber OF Nicholas Castellanos 1B Miguel Cabrera C Willson Contreras SS Addison Russell 2B Whit Merrifield OF Leonys Martin,,,,,
165,1063126470,Biesterfield,0,87.9,P Eduardo Rodríguez P Luke Weaver OF Giancarlo Stanton OF Mookie Betts SS Francisco Lindor 3B José Ramírez C Willson Contreras OF Michael Brantley 2B Neil Walker 1B Lucas Duda,,,,,
165,1063277547,REDCOAT85 (8/15),0,87.9,P Eduardo Rodríguez P Luke Weaver OF Aaron Judge 3B Kris Bryant SS Francisco Lindor OF Lorenzo Cain 1B Ryan Braun C Willson Contreras OF Domingo Santana 2B Ben Zobrist,,,,,
167,1063543056,goudsaab,0,87.75,P Mike Clevinger P Luke Weaver OF Rhys Hoskins SS Francisco Lindor 3B José Ramírez 1B Carlos Santana 2B César Hernández OF Odúbel Herrera OF Nick Williams C Bryan Holaday,,,,,
168,1063104269,cheeseisgood (1/3),0,87.55,P Charlie Morton P Luke Weaver OF Rhys Hoskins OF J.D. Martinez 1B José Abreu 2B César Hernández OF Avisaíl García 3B Mike Moustakas SS J.P. Crawford C Andrew Knapp,,,,,
168,1063236232,Yepyeppers,0,87.55,P Jake Arrieta P Jordan Montgomery OF Rhys Hoskins SS Carlos Correa 1B Carlos Santana OF Gregory Polanco 2B César Hernández 3B Maikel Franco OF Odúbel Herrera C Austin Romine,,,,,
168,1063486364,yolegacy (9/9),0,87.55,P Charlie Morton P Luke Weaver 2B José Altuve SS Carlos Correa OF George Springer OF Josh Reddick 1B Neil Walker OF Adam Duvall C Tucker Barnhart 3B Jace Peterson,,,,,
168,1063523549,fantasyfever (3/9),0,87.55,P Jake Arrieta P Jordan Montgomery OF Mookie Betts OF J.D. Martinez SS Xander Bogaerts 3B Rafael Devers 2B Jason Kipnis OF Corey Dickerson 1B Mitch Moreland C Max Stassi,,,,,
168,1063554511,squirrelpatroldk (3/3),0,87.55,P Charlie Morton P Luke Weaver OF Rhys Hoskins OF J.D. Martinez 3B Matt Davidson 2B Jonathan Schoop C Welington Castillo OF Trey Mancini 1B Justin Bour SS Ronald Torreyes,,,,,
173,1063438192,tinderella (1/6),0,87.4,P Mike Clevinger P José Quintana 3B Kris Bryant C Willson Contreras SS Addison Russell OF Tommy Pham 2B Ben Zobrist 1B Matt Carpenter OF Albert Almora Jr. OF Dexter Fowler,,,,,
173,1063485553,kfalik (3/3),0,87.4,P Jordan Montgomery P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant SS Xander Bogaerts C Willson Contreras OF Brett Gardner 1B Tyler Austin 2B Neil Walker,,,,,
175,1063416652,m3deman (2/3),0,87.35,P José Quintana P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Francisco Lindor 3B José Ramírez 2B César Hernández 1B Matt Carpenter OF Dexter Fowler C Christian Vázquez,,,,,
176,1063078851,malburgis,0,87.1,P Reynaldo López P Jordan Montgomery OF Aaron Judge 3B Kris Bryant SS Francisco Lindor 1B Matt Davidson OF David Peralta C Willson Contreras OF Avisaíl García 2B Neil Walker,,,,,
177,1063151743,Ebonwraith,0,86.89999,P Jameson Taillon P Eduardo Rodríguez OF Rhys Hoskins 2B José Ramírez 1B José Abreu OF Brett Gardner SS Paul DeJong C Welington Castillo OF Niko Goodrum 3B Daniel Descalso,,,,,
178,1063191435,bryito12 (4/5),0,86.75,P Charlie Morton P Eduardo Rodríguez OF Giancarlo Stanton OF Aaron Judge OF Brett Gardner SS Addison Russell 2B Neil Walker 1B Daniel Descalso 3B Miguel Andújar C Victor Caratini,,,,,
179,1063471456,ragingphilip (2/2),0,86.55,P Charlie Morton P Luke Weaver 3B Kris Bryant OF Kyle Schwarber C Willson Contreras SS Addison Russell 2B Derek Dietrich 1B Justin Bour OF Albert Almora Jr. OF Nicky Delmonico,,,,,
180,1063156170,scout326 (9/15),0,86.5,P Jake Arrieta P José Quintana 3B Kris Bryant C Willson Contreras SS Paul DeJong OF Marcell Ozuna OF Tommy Pham 2B Ben Zobrist 1B Matt Carpenter OF Albert Almora Jr.,,,,,
181,1063115437,madoublet98 (2/2),0,86.35,P José Quintana P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant SS Manny Machado C Welington Castillo OF Domingo Santana 2B Neil Walker 1B Trey Mancini,,,,,
182,1063206634,reztes757 (2/3),0,86.2,P Charlie Morton P Taijuan Walker OF Rhys Hoskins 1B Carlos Santana SS Ketel Marte 3B Maikel Franco OF Odúbel Herrera 2B Neil Walker C Alex Avila OF Nick Williams,,,,,
183,1063538451,DraftCheat (1/2),0,86.1,P Reynaldo López P Jordan Montgomery OF Rhys Hoskins 3B Kris Bryant OF Kyle Schwarber OF Gregory Polanco C Willson Contreras SS Addison Russell 1B José Martínez 2B Ben Zobrist,,,,,
184,1063039036,IamPGM (2/3),0,85.55,P Charlie Morton P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant 1B Carlos Santana SS Tim Anderson OF Brett Gardner OF Avisaíl García C Victor Caratini 2B Jace Peterson,,,,,
184,1063054382,giantsquid (1/2),0,85.55,P José Quintana P Eduardo Rodríguez 3B Kris Bryant SS Francisco Lindor 2B José Ramírez 1B Yonder Alonso C Willson Contreras OF Michael Brantley OF Albert Almora Jr. OF Bradley Zimmer,,,,,
184,1063512740,Ebone17,0,85.55,P Charlie Morton P Luke Weaver OF Aaron Judge SS Francisco Lindor 3B José Ramírez OF Brett Gardner 2B Neil Walker 1B Matt Carpenter OF Dexter Fowler C Tucker Barnhart,,,,,
187,1063477812,ehafner (6/15),0,85.45,P Mike Clevinger P Reynaldo López 3B Kris Bryant C Willson Contreras SS Addison Russell OF Marcell Ozuna OF Tommy Pham 2B Ben Zobrist 1B Matt Carpenter OF Albert Almora Jr.,,,,,
188,1063452416,yolegacy (7/9),0,84.9,P Eduardo Rodríguez P Luke Weaver OF Mookie Betts OF J.D. Martinez OF Andrew Benintendi SS Xander Bogaerts 1B Hanley Ramirez 3B Alex Bregman 2B Neil Walker C Tucker Barnhart,,,,,
189,1063032834,IamPGM (1/3),0,84.85,P Jake Arrieta P Luke Weaver 3B Kris Bryant OF Kyle Schwarber SS Manny Machado OF Lorenzo Cain C Willson Contreras OF Brett Gardner 2B Neil Walker 1B Lucas Duda,,,,,
189,1063389800,zsavior (3/4),0,84.85,P Jake Arrieta P Luke Weaver 3B Kris Bryant OF Kyle Schwarber SS Manny Machado OF Lorenzo Cain C Willson Contreras OF Brett Gardner 2B Neil Walker 1B Lucas Duda,,,,,
191,1063391380,monds6,0,84.75,P Mike Clevinger P Luke Weaver 3B Kris Bryant OF Kyle Schwarber OF Lorenzo Cain 1B Ryan Braun C Willson Contreras SS Addison Russell 2B Ben Zobrist OF Braxton Lee,,,,,
192,1063485786,Horseshoegang,0,84.6,P Eduardo Rodríguez P Reynaldo López OF Rhys Hoskins 1B Edwin Encarnacion 2B José Ramírez SS Manny Machado OF Brett Gardner 3B Maikel Franco C Yadier Molina OF Odúbel Herrera,,,,,
193,1063435700,dahladino (10/10),0,84.55,P Charlie Morton P Luke Weaver OF Nicholas Castellanos 1B José Abreu 2B Yoán Moncada SS Tim Anderson 3B Jeimer Candelario C Welington Castillo OF Leonys Martin OF Niko Goodrum,,,,,
194,1063024474,papagates (3/15),0,84.5,P Jake Arrieta P José Quintana 1B Edwin Encarnacion OF Kyle Schwarber 3B José Ramírez SS Addison Russell C Yan Gomes 2B Ben Zobrist OF Billy Hamilton OF Bradley Zimmer,,,,,
194,1063156163,scout326 (2/15),0,84.5,P Jake Arrieta P José Quintana OF Giancarlo Stanton SS Francisco Lindor 3B José Ramírez 1B Yonder Alonso OF Michael Brantley OF Bradley Zimmer C Austin Romine 2B Jace Peterson,,,,,
196,1063477809,ehafner (3/15),0,84.45,P Mike Clevinger P Reynaldo López OF Giancarlo Stanton 1B José Abreu SS Tim Anderson OF Brett Gardner OF Avisaíl García C Welington Castillo 2B Neil Walker 3B Miguel Andújar,,,,,
197,1063175934,moklovin (5/5),0,84.05,P José Quintana P Reynaldo López OF Giancarlo Stanton SS Francisco Lindor 3B José Ramírez C Willson Contreras 2B Jason Kipnis OF Michael Brantley 1B Neil Walker OF Tyler Naquin,,,,,
197,1063385372,gilraz317,0,84.05,P Tyler Mahle P Reynaldo López OF Rhys Hoskins OF Aaron Judge 3B Kris Bryant SS Francisco Lindor OF Brett Gardner 1B Tyler Austin 2B Ben Zobrist C Jesús Sucre,,,,,
199,1063423103,justajoe2u (2/3),0,83.85,P Jake Arrieta P Jameson Taillon OF George Springer 1B José Abreu SS Manny Machado 3B Alex Bregman OF Domingo Santana 2B Neil Walker OF Trey Mancini C Jesús Sucre,,,,,
199,1063519226,mikebearcat,0,83.85,P Jake Arrieta P Jameson Taillon OF Giancarlo Stanton OF Andrew Benintendi 1B Joey Votto 3B Maikel Franco OF Odúbel Herrera 2B Niko Goodrum C Tucker Barnhart SS J.P. Crawford,,,,,
199,1063528668,zsavior (4/4),0,83.85,P Jake Arrieta P Luke Weaver OF Mookie Betts SS Francisco Lindor 3B José Ramírez 1B Carlos Santana OF Michael Brantley C Evan Gattis OF Odúbel Herrera 2B Neil Walker,,,,,
199,1063541205,mlbmodel (2/2),0,83.85,P Jake Arrieta P Luke Weaver OF Mookie Betts SS Francisco Lindor 3B José Ramírez 1B Carlos Santana OF Michael Brantley C Evan Gattis OF Odúbel Herrera 2B Neil Walker,,,,,
203,1063108464,youdacao (10/15),0,83.7,P Jameson Taillon P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 1B Ryan Braun 3B Alex Bregman OF Domingo Santana 2B Jonathan Villar SS Orlando Arcia C Manny Piña,,,,,
204,1063156167,scout326 (6/15),0,83.55,P José Quintana P Eduardo Rodríguez OF J.D. Martinez SS Francisco Lindor 3B José Ramírez 1B Hanley Ramirez 2B Eduardo Núñez OF Michael Brantley C Christian Vázquez OF Tyler Naquin,,,,,
204,1063389141,GFallis (1/2),0,83.55,P Jake Arrieta P Reynaldo López OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant SS Carlos Correa OF Ben Zobrist 1B Mitch Moreland 2B Brad Miller C Victor Caratini,,,,,
206,1063523548,fantasyfever (2/9),0,83.5,P Jake Arrieta P José Quintana 2B José Altuve SS Carlos Correa 3B Alex Bregman OF Josh Reddick OF Marwin González 1B Tyler Austin C Andrew Knapp OF Rob Refsnyder,,,,,
207,1063560661,NycJeff,0,83.45,P Mike Clevinger P Jordan Montgomery OF Aaron Judge SS Francisco Lindor 1B Edwin Encarnacion OF Brett Gardner OF Michael Brantley 2B Neil Walker 3B Miguel Andújar C Austin Romine,,,,,
208,1063444354,jimmy0923 (2/2),0,83.4,P Reynaldo López P Luke Weaver OF Aaron Judge OF J.D. Martinez SS Francisco Lindor 1B Carlos Santana OF Lorenzo Cain 3B Rafael Devers 2B Jason Kipnis C Yadier Molina,,,,,
