Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
24,1063240197,bradhr (2/2),0,119.7,P Jameson Taillon P Luke Weaver 2B José Altuve OF Aaron Judge 3B Kris Bryant SS Carlos Correa OF Avisaíl García C Yadier Molina 1B Neil Walker OF Craig Gentry,,Avisaíl García,OF,13.00%,6
24,1063285102,GS30,0,119.7,P Jameson Taillon P Luke Weaver OF Aaron Judge 3B José Ramírez SS Manny Machado OF Lorenzo Cain 1B Ryan Braun OF Adam Jones C Yadier Molina 2B Neil Walker,,Rhys Hoskins,OF,12.80%,11
24,1063294651,EMSBRO,0,119.7,P Jameson Taillon P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Carlos Correa C Willson Contreras OF Brett Gardner 2B Jonathan Schoop 1B Neil Walker 3B Jace Peterson,,Kyle Schwarber,OF,12.60%,0
27,1063107693,wcdenin24 (2/8),0,119.55,P Charlie Morton P Jameson Taillon SS Francisco Lindor 2B Jason Kipnis OF Michael Brantley C Yan Gomes OF Domingo Santana 1B Neil Walker 3B Matt Duffy OF Carlos Gómez,,George Springer,OF,12.60%,3
28,1063362695,jaker1soe (1/2),0,119.25,P Charlie Morton P Reynaldo López OF George Springer SS Manny Machado OF Josh Reddick OF Adam Jones C Evan Gattis 2B Jonathan Schoop 1B Trey Mancini 3B Danny Valencia,,Manny Machado,SS,12.60%,8
29,1063486107,mazwa (2/10),0,119.2,P Charlie Morton P José Quintana C Willson Contreras 2B Starlin Castro 3B Brian Anderson OF Tommy Pham OF Derek Dietrich 1B Justin Bour OF Dexter Fowler SS Miguel Rojas,,Edwin Encarnacion,1B,12.00%,0
30,1063248683,oliver868,0,118.35,P Jameson Taillon P José Quintana 2B José Altuve 3B Kris Bryant C Willson Contreras OF Avisaíl García OF José Martínez 1B Neil Walker OF Corey Dickerson SS Jordy Mercer,,Addison Russell,SS,11.60%,0
31,1063467298,Awesemo (3/15),0,118.25,P Charlie Morton P Reynaldo López OF Giancarlo Stanton OF Aaron Judge SS Manny Machado 2B Jonathan Schoop 1B Neil Walker OF Trey Mancini 3B Miguel Andújar C Austin Romine,,Mike Clevinger,P,11.00%,15.9
32,1063257090,gsxallstar,0,116.4,P Jameson Taillon P Reynaldo López OF Giancarlo Stanton OF Rhys Hoskins OF Aaron Judge 1B José Abreu SS Manny Machado 3B Matt Duffy 2B Jace Peterson C Bryan Holaday,,Jameson Taillon,P,10.80%,40.85
32,1063568682,YoYo1104,0,116.4,P Jameson Taillon P Reynaldo López OF Mookie Betts SS Xander Bogaerts 3B Manny Machado 2B Yoán Moncada OF Brett Gardner 1B Tyler Austin C Yadier Molina OF José Martínez,,Odúbel Herrera,OF,10.00%,12
34,1063109979,shawnzhan (4/15),0,116.35,P Mike Fiers P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant SS Manny Machado C Willson Contreras OF Brett Gardner 1B Tyler Austin 2B Neil Walker,,Evan Gattis,C,10.00%,0
35,1063302830,jeremyshow (1/3),0,115.6,P Charlie Morton P Mike Clevinger OF Aaron Judge 1B Jesús Aguilar C Yan Gomes OF Domingo Santana 2B Neil Walker 3B Miguel Andújar SS Miguel Rojas OF Hernán Pérez,,Domingo Santana,OF,9.80%,2
36,1063017107,doubleplay15,0,115.4,P Jameson Taillon P Reynaldo López OF Mookie Betts OF George Springer OF Andrew Benintendi SS Manny Machado 3B Alex Bregman 2B Jonathan Schoop 1B Neil Walker C Victor Caratini,,Albert Almora Jr.,OF,9.80%,9
