Rank,EntryId,EntryName,Points,Player,Roster Position,Drafted,FPTS,,,,,,,,
1,1063200121,Bianchibear03,125.7,Luke Weaver,P,52.86,23.85,Jameson Taillon,Luke Weaver,Austin Romine,Neil Walker,Cesar Hernandez,Maikel Franco,J.P. Crawford,"Giancarlo Stanton,Rhys Hoskins,Aaron Judge"
1,1063383148,monds6,125.7,Kris Bryant,3B,41.43,0,Jameson Taillon,Luke Weaver,Max Stassi,Marwin Gonzalez,Jose Altuve,Kris Bryant,Carlos Correa,"Josh Reddick,Tommy Pham,Ben Zobrist"
3,1063433702,jimmy0923,120.7,Willson Contreras,C,32.86,15,Jameson Taillon,Luke Weaver,Yan Gomes,Hanley Ramirez,Jose Ramirez,Manny Machado,Francisco Lindor,"J.D. Martinez,Trey Mancini,Albert Almora"
4,1063343260,mw0315,115.4,Carlos Correa,SS,32.86,0,Jameson Taillon,Reynaldo Lopez,Max Stassi,Jose Abreu,Neil Walker,Matt Davidson,Carlos Correa,"Aaron Judge,Brett Gardner,Nicky Delmonico"
5,1063483420,Notorious,112.55,Giancarlo Stanton,OF,30.00,0,Charlie Morton,Luke Weaver,Evan Gattis,Tyler Austin,Neil Walker,Miguel Andujar,Carlos Correa,"George Springer,Josh Reddick,Marcell Ozuna"
6,1063385541,hoop2410,111.55,Neil Walker,1B,30.00,9,Charlie Morton,Luke Weaver,Victor Caratini,Neil Walker,Ben Zobrist,Alex Bregman,Carlos Correa,"George Springer,Josh Reddick,Brett Gardner"
7,1063516297,Omnipoint,110.55,Francisco Lindor,SS,27.14,0,Charlie Morton,Luke Weaver,Tucker Barnhart,Tyler Austin,Neil Walker,Kris Bryant,Addison Russell,"Aaron Judge,Brett Gardner,Ben Zobrist"
8,1063464766,hencoup,109.7,Charlie Morton,P,25.71,26.7,Jameson Taillon,Luke Weaver,Austin Romine,Neil Walker,Jose Altuve,Alex Bregman,Carlos Correa,"Giancarlo Stanton,Aaron Judge,Braxton Lee"
9,1063467460,Awesemo,109.35,Brett Gardner,OF,24.29,8,Mike Fiers,Luke Weaver,Willson Contreras,Marwin Gonzalez,Jose Altuve,Kris Bryant,Carlos Correa,"George Springer,Josh Reddick,Ben Zobrist"
10,1063253055,dandydon,108.55,Jose Altuve,2B,24.29,0,Charlie Morton,Luke Weaver,Willson Contreras,Trey Mancini,Ben Zobrist,Kris Bryant,Addison Russell,"Aaron Judge,Albert Almora,Dexter Fowler"
11,1063113156,youdacao,108.35,Aaron Judge,OF,22.86,12,Jose Quintana,Luke Weaver,Willson Contreras,Trey Mancini,Ben Zobrist,Kris Bryant,Addison Russell,"Giancarlo Stanton,Aaron Judge,Albert Almora"
12,1063383175,monds6,106.55,Michael Brantley,OF,21.43,5,Charlie Morton,Luke Weaver,Victor Caratini,Tyler Austin,Neil Walker,Manny Machado,J.P. Crawford,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
13,1063477806,ehafner,106.05,Jose Quintana,P,20.00,26.5,Jose Quintana,Reynaldo Lopez,Willson Contreras,Neil Walker,Ben Zobrist,Kris Bryant,Addison Russell,"Giancarlo Stanton,Brett Gardner,Albert Almora"
14,1063427559,MFedorak1982,104.85,Jordan Montgomery,P,20.00,2.55,Jake Arrieta,Jameson Taillon,Welington Castillo,Carlos Santana,Cesar Hernandez,Mike Moustakas,Nick Ahmed,"Rhys Hoskins,Odubel Herrera,Nick Williams"
15,1063428723,tonybalony,103.75,Jason Kipnis,2B,18.57,0,Jameson Taillon,Mike Wright,Max Stassi,Josh Bell,Jose Altuve,Jose Ramirez,Carlos Correa,"Starling Marte,Josh Reddick,Corey Dickerson"
16,1063386570,jontlevy,97.85,Alex Bregman,3B,18.57,0,Jake Arrieta,Luke Weaver,Yan Gomes,Tyler Austin,Jose Ramirez,Maikel Franco,Francisco Lindor,"Aaron Judge,Brett Gardner,Michael Brantley"
17,1063506287,Vongole,97.35,Jose Ramirez,3B,18.57,4,Jameson Taillon,Jose Quintana,Francisco Cervelli,Edwin Encarnacion,Neil Walker,Kris Bryant,Francisco Lindor,"Michael Brantley,Corey Dickerson,Dexter Fowler"
18,1063423603,wilson1,96.55,Ben Zobrist,2B,18.57,17,Charlie Morton,Luke Weaver,Max Stassi,Neil Walker,Jose Altuve,Alex Bregman,Carlos Correa,"Brett Gardner,Domingo Santana,Albert Almora"
19,1063253056,dandydon,95.55,Addison Russell,SS,17.14,0,Charlie Morton,Luke Weaver,Willson Contreras,Jesus Aguilar,Ben Zobrist,Kris Bryant,Addison Russell,"Ryan Braun,Domingo Santana,Albert Almora"
20,1063428724,tonybalony,95,Albert Almora Jr.,OF,15.71,9,Charlie Morton,Mike Clevinger,Max Stassi,Mitch Moreland,Niko Goodrum,Daniel Descalso,Xander Bogaerts,"Marcell Ozuna,Avisail Garcia,Michael Brantley"
21,1063427589,MFedorak1982,88.6,Domingo Santana,OF,14.29,2,Eduardo Rodriguez,Reynaldo Lopez,Tucker Barnhart,Hanley Ramirez,Neil Walker,Mike Moustakas,Xander Bogaerts,"Mookie Betts,J.D. Martinez,Andrew Benintendi"
22,1063453072,JBP126,87.15,Eduardo Rodriguez,P,14.29,12.05,Mike Clevinger,Luke Weaver,Andrew Knapp,Tyler Austin,Neil Walker,Maikel Franco,Xander Bogaerts,"Giancarlo Stanton,Rhys Hoskins,Nick Williams"
23,1063438209,tinderella,86.8,Dexter Fowler,OF,14.29,0,Mike Clevinger,Jose Quintana,Willson Contreras,Matt Carpenter,Ben Zobrist,Kris Bryant,Addison Russell,"Tommy Pham,Albert Almora,Dexter Fowler"
24,1063458445,gentlaw2,86.75,Reynaldo Lopez,P,14.29,21.55,Jameson Taillon,Mike Wright,Welington Castillo,Edwin Encarnacion,Josh Harrison,Maikel Franco,Manny Machado,"Rhys Hoskins,Starling Marte,Adam Jones"
25,1063455629,thekdogg,85.9,Kyle Schwarber,OF,12.86,0,Eduardo Rodriguez,Luke Weaver,Evan Gattis,Tyler Austin,Jose Altuve,Miguel Andujar,Carlos Correa,"J.D. Martinez,George Springer,Josh Reddick"
26,1063504317,Ebone17,85.55,Jake Arrieta,P,12.86,12,Charlie Morton,Luke Weaver,Tucker Barnhart,Matt Carpenter,Neil Walker,Jose Ramirez,Francisco Lindor,"Aaron Judge,Brett Gardner,Dexter Fowler"
27,1063492844,madtownman,85,George Springer,OF,12.86,3,Charlie Morton,Mike Clevinger,Manny Pina,Jesus Aguilar,Jonathan Schoop,Danny Valencia,Manny Machado,"Lorenzo Cain,Domingo Santana,Hernan Perez"
28,1063039275,IamPGM,84.85,Jameson Taillon,P,12.86,40.85,Jake Arrieta,Luke Weaver,Willson Contreras,Lucas Duda,Neil Walker,Kris Bryant,Manny Machado,"Kyle Schwarber,Lorenzo Cain,Brett Gardner"
29,1063156487,scout326,84.5,Rhys Hoskins,OF,12.86,11,Jake Arrieta,Jose Quintana,Austin Romine,Yonder Alonso,Jace Peterson,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Michael Brantley,Bradley Zimmer"
30,1063304479,NycJeff,82.85,Jose Abreu,1B,11.43,2,Mike Clevinger,Jordan Montgomery,Austin Romine,Edwin Encarnacion,Neil Walker,Miguel Andujar,Francisco Lindor,"Aaron Judge,Brett Gardner,Michael Brantley"
31,1063477805,ehafner,82.55,Mike Clevinger,P,11.43,15.3,Jake Arrieta,Reynaldo Lopez,Willson Contreras,Jose Abreu,Yoan Moncada,Kris Bryant,Addison Russell,"Avisail Garcia,Ben Zobrist,Albert Almora"
32,1063445070,Wreck-Havoc-22,82.35,Ryan Braun,1B,10.00,0,Mike Clevinger,Eduardo Rodriguez,Andrew Knapp,Marwin Gonzalez,Cesar Hernandez,Maikel Franco,Xander Bogaerts,"Rhys Hoskins,Odubel Herrera,Niko Goodrum"
33,1063002508,ChipotleAddict,82,Edwin Encarnacion,1B,10.00,0,Jose Quintana,Mike Fiers,Willson Contreras,Paul Goldschmidt,Jason Kipnis,Kris Bryant,Francisco Lindor,"Kyle Schwarber,Michael Brantley,Bradley Zimmer"
34,1063405539,Vongole,81.4,Evan Gattis,C,10.00,0,Reynaldo Lopez,Luke Weaver,Francisco Cervelli,Josh Bell,Neil Walker,Kris Bryant,Carlos Correa,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
35,1063176092,moklovin,81.35,Avisail Garcia,OF,10.00,6,Jose Quintana,Luke Weaver,Willson Contreras,Neil Walker,Jason Kipnis,Kris Bryant,Francisco Lindor,"Giancarlo Stanton,Michael Brantley,Domingo Santana"
36,1063455965,thekdogg,80.9,Welington Castillo,C,10.00,0,Eduardo Rodriguez,Luke Weaver,Yadier Molina,Tyler Austin,Jose Altuve,Jace Peterson,Carlos Correa,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
37,1063430557,jmseveridt,79.55,Xander Bogaerts,SS,10.00,3,Charlie Morton,Luke Weaver,Willson Contreras,Matt Carpenter,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Marcell Ozuna,Michael Brantley,Dexter Fowler"
38,1063110141,shawnzhan,79.35,Tyler Austin,1B,10.00,14,Mike Fiers,Luke Weaver,Willson Contreras,Yonder Alonso,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Kyle Schwarber,Michael Brantley"
39,1063512577,Omnipoint,78.55,Josh Reddick,OF,8.57,19,Charlie Morton,Luke Weaver,Yadier Molina,Yonder Alonso,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Marcell Ozuna,Tommy Pham,Bradley Zimmer"
