Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
24,1063458445,gentlaw2,0,86.75,P Jameson Taillon P Mike Wright Jr. OF Rhys Hoskins 1B Edwin Encarnacion OF Starling Marte SS Manny Machado 2B Josh Harrison OF Adam Jones 3B Maikel Franco C Welington Castillo,,Reynaldo López,P,14.29%,21.55
25,1063455629,thekdogg (1/2),0,85.9,P Eduardo Rodríguez P Luke Weaver 2B José Altuve OF J.D. Martinez SS Carlos Correa OF George Springer OF Josh Reddick C Evan Gattis 1B Tyler Austin 3B Miguel Andújar,,Kyle Schwarber,OF,12.86%,0
26,1063504317,Ebone17,0,85.55,P Charlie Morton P Luke Weaver OF Aaron Judge SS Francisco Lindor 3B José Ramírez OF Brett Gardner 2B Neil Walker 1B Matt Carpenter OF Dexter Fowler C Tucker Barnhart,,Jake Arrieta,P,12.86%,12
27,1063492844,madtownman,0,85,P Charlie Morton P Mike Clevinger SS Manny Machado OF Lorenzo Cain 2B Jonathan Schoop 1B Jesús Aguilar OF Domingo Santana C Manny Piña 3B Danny Valencia OF Hernán Pérez,,George Springer,OF,12.86%,3
28,1063039275,IamPGM (2/2),0,84.85,P Jake Arrieta P Luke Weaver 3B Kris Bryant OF Kyle Schwarber SS Manny Machado OF Lorenzo Cain C Willson Contreras OF Brett Gardner 2B Neil Walker 1B Lucas Duda,,Jameson Taillon,P,12.86%,40.85
29,1063156487,scout326 (2/2),0,84.5,P Jake Arrieta P José Quintana OF Giancarlo Stanton SS Francisco Lindor 3B José Ramírez 1B Yonder Alonso OF Michael Brantley OF Bradley Zimmer C Austin Romine 2B Jace Peterson,,Rhys Hoskins,OF,12.86%,11
30,1063304479,NycJeff,0,82.85,P Mike Clevinger P Jordan Montgomery OF Aaron Judge SS Francisco Lindor 1B Edwin Encarnacion OF Brett Gardner OF Michael Brantley 2B Neil Walker 3B Miguel Andújar C Austin Romine,,José Abreu,1B,11.43%,2
31,1063477805,ehafner (1/2),0,82.55,P Jake Arrieta P Reynaldo López 3B Kris Bryant 1B José Abreu C Willson Contreras 2B Yoán Moncada SS Addison Russell OF Avisaíl García OF Ben Zobrist OF Albert Almora Jr.,,Mike Clevinger,P,11.43%,15.3
32,1063445070,Wreck-Havoc-22,0,82.35,P Mike Clevinger P Eduardo Rodríguez OF Rhys Hoskins SS Xander Bogaerts 2B César Hernández 1B Marwin González 3B Maikel Franco OF Odúbel Herrera OF Niko Goodrum C Andrew Knapp,,Ryan Braun,1B,10.00%,0
33,1063002508,ChipotleAddict (1/2),0,82,P José Quintana P Mike Fiers 3B Kris Bryant 1B Paul Goldschmidt SS Francisco Lindor OF Kyle Schwarber C Willson Contreras 2B Jason Kipnis OF Michael Brantley OF Bradley Zimmer,,Edwin Encarnacion,1B,10.00%,0
34,1063405539,Vongole (1/2),0,81.4,P Reynaldo López P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant SS Carlos Correa 1B Josh Bell OF Brett Gardner 2B Neil Walker C Francisco Cervelli,,Evan Gattis,C,10.00%,0
35,1063176092,moklovin,0,81.35,P José Quintana P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Francisco Lindor C Willson Contreras 2B Jason Kipnis OF Michael Brantley OF Domingo Santana 1B Neil Walker,,Avisaíl García,OF,10.00%,6
36,1063455965,thekdogg (2/2),0,80.9,P Eduardo Rodríguez P Luke Weaver OF Giancarlo Stanton 2B José Altuve OF Aaron Judge SS Carlos Correa OF Brett Gardner 1B Tyler Austin C Yadier Molina 3B Jace Peterson,,Welington Castillo,C,10.00%,0
37,1063430557,jmseveridt,0,79.55,P Charlie Morton P Luke Weaver SS Francisco Lindor 3B José Ramírez C Willson Contreras 2B Jason Kipnis OF Marcell Ozuna OF Michael Brantley 1B Matt Carpenter OF Dexter Fowler,,Xander Bogaerts,SS,10.00%,3
38,1063110141,shawnzhan,0,79.35,P Mike Fiers P Luke Weaver OF Giancarlo Stanton SS Francisco Lindor OF Kyle Schwarber 3B José Ramírez 1B Yonder Alonso C Willson Contreras 2B Jason Kipnis OF Michael Brantley,,Tyler Austin,1B,10.00%,14
