Rank,EntryId,EntryName,Points,Player,Roster Position,Drafted,FPTS,,,,,,,,
27,1063107693,wcdenin24,119.55,George Springer,OF,12.60,3,Charlie Morton,Jameson Taillon,Yan Gomes,Neil Walker,Jason Kipnis,Matt Duffy,Francisco Lindor,"Michael Brantley,Domingo Santana,Carlos Gomez"
28,1063362695,jaker1soe,119.25,Manny Machado,SS,12.60,8,Charlie Morton,Reynaldo Lopez,Evan Gattis,Trey Mancini,Jonathan Schoop,Danny Valencia,Manny Machado,"George Springer,Josh Reddick,Adam Jones"
29,1063486107,mazwa,119.2,Edwin Encarnacion,1B,12.00,0,Charlie Morton,Jose Quintana,Willson Contreras,Justin Bour,Starlin Castro,Brian Anderson,Miguel Rojas,"Tommy Pham,Derek Dietrich,Dexter Fowler"
30,1063248683,oliver868,118.35,Addison Russell,SS,11.60,0,Jameson Taillon,Jose Quintana,Willson Contreras,Neil Walker,Jose Altuve,Kris Bryant,Jordy Mercer,"Avisail Garcia,Jose Martinez,Corey Dickerson"
31,1063467298,Awesemo,118.25,Mike Clevinger,P,11.00,15.9,Charlie Morton,Reynaldo Lopez,Austin Romine,Neil Walker,Jonathan Schoop,Miguel Andujar,Manny Machado,"Giancarlo Stanton,Aaron Judge,Trey Mancini"
32,1063257090,gsxallstar,116.4,Jameson Taillon,P,10.80,40.85,Jameson Taillon,Reynaldo Lopez,Bryan Holaday,Jose Abreu,Jace Peterson,Matt Duffy,Manny Machado,"Giancarlo Stanton,Rhys Hoskins,Aaron Judge"
32,1063568682,YoYo1104,116.4,Odubel Herrera,OF,10.00,12,Jameson Taillon,Reynaldo Lopez,Yadier Molina,Tyler Austin,Yoan Moncada,Manny Machado,Xander Bogaerts,"Mookie Betts,Brett Gardner,Jose Martinez"
34,1063109979,shawnzhan,116.35,Evan Gattis,C,10.00,0,Mike Fiers,Luke Weaver,Willson Contreras,Tyler Austin,Neil Walker,Kris Bryant,Manny Machado,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
35,1063302830,jeremyshow,115.6,Domingo Santana,OF,9.80,2,Charlie Morton,Mike Clevinger,Yan Gomes,Jesus Aguilar,Neil Walker,Miguel Andujar,Miguel Rojas,"Aaron Judge,Domingo Santana,Hernan Perez"
36,1063017107,doubleplay15,115.4,Albert Almora Jr.,OF,9.80,9,Jameson Taillon,Reynaldo Lopez,Victor Caratini,Neil Walker,Jonathan Schoop,Alex Bregman,Manny Machado,"Mookie Betts,George Springer,Andrew Benintendi"
37,1063277541,REDCOAT85,115.2,Ryan Braun,1B,9.40,0,Charlie Morton,Jose Quintana,Evan Gattis,C.J. Cron,Neil Walker,Matt Duffy,Eduardo Nunez,"Giancarlo Stanton,Brett Gardner,Carlos Gomez"
38,1063277545,REDCOAT85,114.7,Victor Caratini,C,9.40,5,Charlie Morton,Jake Arrieta,Francisco Cervelli,C.J. Cron,Neil Walker,Matt Duffy,Eduardo Nunez,"Aaron Judge,Brett Gardner,Carlos Gomez"
39,1063135741,BirdWings,114.55,Yoan Moncada,2B,9.40,0,Charlie Morton,Luke Weaver,Victor Caratini,Tyler Austin,Neil Walker,Alex Bregman,Carlos Correa,"Aaron Judge,Josh Reddick,Michael Brantley"
40,1063171652,bouncehouse22,114.4,Carlos Santana,1B,9.40,2,Jameson Taillon,Reynaldo Lopez,Yan Gomes,Jose Abreu,Yolmer Sanchez,Matt Davidson,Tim Anderson,"Aaron Judge,Lorenzo Cain,Avisail Garcia"
41,1063467300,Awesemo,114.05,Mookie Betts,OF,9.20,16,Jose Quintana,Reynaldo Lopez,Willson Contreras,Carlos Santana,Cesar Hernandez,Kris Bryant,J.P. Crawford,"Rhys Hoskins,Odubel Herrera,Ben Zobrist"
42,1063563131,easton136,113.7,Xander Bogaerts,SS,9.20,3,Jameson Taillon,Luke Weaver,Welington Castillo,Josh Bell,Jose Ramirez,Manny Machado,Francisco Lindor,"Josh Reddick,Brett Gardner,Michael Brantley"
43,1063463714,Omnipoint,113.55,Maikel Franco,3B,8.60,3,Charlie Morton,Luke Weaver,Yadier Molina,Tyler Austin,Neil Walker,Mike Moustakas,Tim Beckham,"Giancarlo Stanton,Aaron Judge,Nick Williams"
43,1063517258,shanksalot,113.55,Dexter Fowler,OF,8.60,0,Charlie Morton,Luke Weaver,Willson Contreras,Trey Mancini,Neil Walker,Manny Machado,Ronald Torreyes,"Giancarlo Stanton,Brett Gardner,Adam Jones"
43,1063543184,isupol,113.55,Matt Davidson,3B,7.80,2,Charlie Morton,Luke Weaver,Max Stassi,Marwin Gonzalez,Cesar Hernandez,Maikel Franco,Carlos Correa,"Rhys Hoskins,Odubel Herrera,Nick Williams"
46,1063054383,giantsquid,113.5,J.D. Martinez,OF,7.80,0,Jake Arrieta,Jose Quintana,Willson Contreras,C.J. Cron,Ben Zobrist,Kris Bryant,Manny Machado,"Kyle Schwarber,Albert Almora,Carlos Gomez"
