Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
24,1063658699,FJH3 (1/2),0,91.35,P José Quintana P Luke Weaver OF Giancarlo Stanton OF Mookie Betts SS Francisco Lindor 3B José Ramírez 1B José Abreu OF Michael Brantley 2B Neil Walker C Victor Caratini,,José Altuve,2B,13.24%,0
25,1063711280,andersont,0,85.85,P Jake Arrieta P Luke Weaver OF Mookie Betts OF J.D. Martinez OF Andrew Benintendi 2B José Ramírez 3B Alex Bregman SS Eduardo Núñez 1B Mitch Moreland C Victor Caratini,,George Springer,OF,13.24%,3
26,1063584700,delongjn414,0,85.14999,P Mike Clevinger P Jameson Taillon OF Nicholas Castellanos SS Xander Bogaerts 1B Miguel Cabrera 3B Jeimer Candelario 2B Neil Walker OF Leonys Martin C John Hicks OF Hernán Pérez,,Rhys Hoskins,OF,13.24%,11
27,1063672699,scout326 (2/2),0,84.5,P Jake Arrieta P José Quintana OF Giancarlo Stanton SS Francisco Lindor 3B José Ramírez 1B Yonder Alonso OF Michael Brantley OF Bradley Zimmer C Austin Romine 2B Jace Peterson,,Xander Bogaerts,SS,11.76%,3
28,1063710714,JBP126,0,84.15,P Mike Clevinger P Luke Weaver OF Rhys Hoskins SS Francisco Lindor 1B Yonder Alonso 2B Jason Kipnis 3B Maikel Franco OF Michael Brantley C Yan Gomes OF Nick Williams,,Welington Castillo,C,11.76%,0
29,1063677515,ehafner (1/2),0,82.55,P Jake Arrieta P Reynaldo López 3B Kris Bryant 1B José Abreu C Willson Contreras 2B Yoán Moncada SS Addison Russell OF Avisaíl García OF Ben Zobrist OF Albert Almora Jr.,,Addison Russell,SS,11.76%,0
29,1063703588,nswodeck,0,82.55,P Charlie Morton P Luke Weaver OF Giancarlo Stanton 1B José Abreu SS Manny Machado 3B Alex Bregman OF Avisaíl García OF Domingo Santana 2B Neil Walker C Victor Caratini,,J.D. Martinez,OF,10.29%,0
31,1063679823,ChipotleAddict (1/2),0,82,P José Quintana P Mike Fiers 3B Kris Bryant 1B Paul Goldschmidt SS Francisco Lindor OF Kyle Schwarber C Willson Contreras 2B Jason Kipnis OF Michael Brantley OF Bradley Zimmer,,Eduardo Rodríguez,P,10.29%,12.05
32,1063656177,crclngthdrn (1/2),0,81.55,P Charlie Morton P Luke Weaver 3B Kris Bryant SS Xander Bogaerts C Willson Contreras OF Brett Gardner 2B Jason Kipnis OF Michael Brantley OF Dexter Fowler 1B Daniel Descalso,,Mike Clevinger,P,10.29%,15.3
33,1063614994,moklovin,0,81.35,P José Quintana P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Francisco Lindor C Willson Contreras 2B Jason Kipnis OF Michael Brantley OF Domingo Santana 1B Neil Walker,,Maikel Franco,3B,10.29%,3
34,1063648374,klennon70,0,79.39999,P Jameson Taillon P Reynaldo López 2B José Altuve OF J.D. Martinez 1B Carlos Santana SS Manny Machado OF Tommy Pham C Welington Castillo 3B Christian Villanueva OF Nick Williams,,José Abreu,1B,10.29%,2
35,1063697291,jmoskal88,0,78.55,P Charlie Morton P Luke Weaver OF Aaron Judge OF J.D. Martinez 3B Matt Davidson C Yadier Molina OF José Martínez 2B Yolmer Sánchez 1B Matt Carpenter SS Ronald Torreyes,,Edwin Encarnacion,1B,8.82%,0
36,1063584371,papagates (2/2),0,77,P José Quintana P Mike Fiers 3B Kris Bryant SS Francisco Lindor 1B Edwin Encarnacion OF Kyle Schwarber C Willson Contreras 2B Jason Kipnis OF Billy Hamilton OF Bradley Zimmer,,Carlos Santana,1B,8.82%,2
37,1063650913,CoachS111,0,74.7,P Charlie Morton P Jake Arrieta OF Aaron Judge SS Carlos Correa C Evan Gattis 2B Neil Walker 1B Mitch Moreland OF Dexter Fowler OF Leury García 3B Jace Peterson,,Avisaíl García,OF,8.82%,6
38,1063698813,lane,0,74.1,P Reynaldo López P Jordan Montgomery OF Aaron Judge 3B Kris Bryant OF Kyle Schwarber OF Lorenzo Cain 1B Ryan Braun C Willson Contreras SS Addison Russell 2B Ben Zobrist,,Kyle Schwarber,OF,8.82%,0
39,1063612291,EmpireMaker2,0,73.9,P Eduardo Rodríguez P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Francisco Lindor C Willson Contreras 3B Alex Bregman 2B Jason Kipnis OF Domingo Santana 1B Neil Walker,,Dexter Fowler,OF,8.82%,0
40,1063603884,Awesemo (1/2),0,73.5,P Jake Arrieta P José Quintana OF Rhys Hoskins 3B José Ramírez 1B Carlos Santana 2B Jason Kipnis OF Odúbel Herrera OF Tyler Naquin SS J.P. Crawford C Andrew Knapp,,Andrew Knapp,C,8.82%,3
41,1063673265,GlennerationX,0,73.05,P Tyler Mahle P Reynaldo López OF Giancarlo Stanton OF Aaron Judge OF J.D. Martinez SS Xander Bogaerts C Willson Contreras 1B José Martínez 2B Neil Walker 3B Miguel Andújar,,Mookie Betts,OF,8.82%,16
41,1063696386,CJAX-DET,0,73.05,P Jordan Montgomery P Mike Fiers OF Mookie Betts OF J.D. Martinez SS Carlos Correa OF Nicholas Castellanos 1B Hanley Ramirez 3B Alex Bregman 2B César Hernández C Yadier Molina,,Lorenzo Cain,OF,7.35%,6
43,1063710268,mister.liemtran,0,72.5,P Jake Arrieta P José Quintana 2B José Altuve OF George Springer 3B Alex Bregman SS Ketel Marte 1B Neil Walker OF Adam Duvall C Christian Vázquez OF Niko Goodrum,,Odúbel Herrera,OF,7.35%,12
44,1063553303,tfamularo,0,72.4,P Jordan Montgomery P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Carlos Correa 1B Edwin Encarnacion C Willson Contreras OF Michael Brantley OF Ben Zobrist 2B Neil Walker,,Joey Votto,1B,7.35%,0
45,1063627204,BarOfSoap,0,70,P Charlie Morton P Mike Clevinger 1B José Abreu 2B Yoán Moncada 3B Maikel Franco OF Avisaíl García OF Odúbel Herrera OF Nicky Delmonico SS J.P. Crawford C Andrew Knapp,,Bradley Zimmer,OF,7.35%,9
46,1063694907,steamroller6,0,69.8,P Mike Clevinger P Tyler Mahle OF Rhys Hoskins 1B Edwin Encarnacion 2B César Hernández 3B Maikel Franco OF Michael Brantley C Yan Gomes OF Odúbel Herrera SS J.P. Crawford,,Tyler Austin,1B,7.35%,14
47,1063582801,tenaciousdjones,0,68.3,P Mike Clevinger P Jake Arrieta 3B Kris Bryant 1B Joey Votto C Willson Contreras 2B Ben Zobrist OF Albert Almora Jr. OF Billy Hamilton SS José Peraza OF Jesse Winker,,Manny Machado,SS,7.35%,8
48,1063575499,smccarty,0,66.25,P Charlie Morton P Jordan Montgomery SS Carlos Correa 2B José Ramírez 1B Carlos Santana OF Brett Gardner OF Michael Brantley C Evan Gattis OF Odúbel Herrera 3B Jace Peterson,,Mitch Moreland,1B,5.88%,9
49,1063584370,papagates (1/2),0,64.5,P Jake Arrieta P José Quintana 3B Kris Bryant OF Kyle Schwarber 1B Joey Votto C Willson Contreras 2B Scooter Gennett OF Billy Hamilton OF Bradley Zimmer SS José Peraza,,Jace Peterson,3B,5.88%,6
50,1063710861,clark735,0,63.4,P Jordan Montgomery P Luke Weaver 2B José Altuve OF Aaron Judge SS Carlos Correa OF George Springer 3B Alex Bregman OF Brett Gardner C Yadier Molina 1B Neil Walker,,Evan Gattis,C,5.88%,0
51,1063702663,rex21023,0,62.9,P Eduardo Rodríguez P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Carlos Correa OF George Springer 1B José Abreu OF Brett Gardner 2B Neil Walker C Victor Caratini,,Albert Almora Jr.,OF,5.88%,9
52,1063672698,scout326 (1/2),0,61.35,P José Quintana P Luke Weaver 2B José Altuve SS Carlos Correa OF George Springer 1B José Abreu 3B Alex Bregman OF Avisaíl García C Welington Castillo OF Leury García,,Mike Fiers,P,5.88%,26.5
