,Position,Position Num,Name,Salary,,,,AvgPointsPerGame,
20171126,C,5,Cole Aldrich,3000,min,pho,H,1.15,0.38
20171126,SG/SF,23,Marcus Georges-Hunt,3000,min,pho,H,1.03,0.34
20171126,PG,1,Derrick Walton Jr.,3000,mia,chi,A,0.81,0.27
20171126,C,5,A.J. Hammons,3000,mia,chi,A,0.00,0.00
20171126,C,5,Alan Williams,3200,pho,min,A,0.00,0.00
20171126,SG/SF,23,Anthony Brown,3000,min,pho,H,0.00,0.00
20171126,PG/SG,12,Brandon Knight,3000,pho,min,A,0.00,0.00
20171126,PG/SG,12,Cameron Payne,3000,chi,mia,H,0.00,0.00
20171126,SG/SF,23,Davon Reed,3000,pho,min,A,0.00,0.00
20171126,PF/C,45,Ivan Rabb,3000,mem,bkn,H,0.00,0.00
20171126,C,5,Justin Patton,3000,min,pho,H,0.00,0.00
20171126,SG,2,Kobi Simmons,3000,mem,bkn,H,0.00,0.00
20171126,SG,2,Matt Williams,3000,mia,chi,A,0.00,0.00
20171126,PF/C,45,Nikola Mirotic,5200,chi,mia,H,0.00,0.00
20171126,SG/SF,23,Rodney McGruder,3000,mia,chi,A,0.00,0.00
20171126,PF,4,Vince Hunter,3000,mem,bkn,H,0.00,0.00
20171126,SG,2,Yakuba Ouattara,3000,bkn,mem,A,0.00,0.00
20171126,PG/SG,12,Zach LaVine,4700,chi,mia,H,0.00,0.00
