PG/SG,D'Angelo Russell,6200,TOR@BKN 03/13/2018 07:30PM ET,28.78,BKN
C,Myles Turner,6200,IND@PHI 03/13/2018 07:00PM ET,29.461,IND
SF/PF,Nemanja Bjelica,6200,MIN@WAS 03/13/2018 07:00PM ET,14.91,MIN
SG/SF,Kentavious Caldwell-Pope,6100,DEN@LAL 03/13/2018 10:30PM ET,27.776,LAL
PF,Nikola Mirotic,6100,CHA@NO 03/13/2018 08:00PM ET,30.863000000000003,NO
PG/SG,Austin Rivers,6000,LAC@CHI 03/13/2018 08:00PM ET,27.105999999999998,LAC
SG/SF,Jonathon Simmons,6000,ORL@SA 03/13/2018 08:30PM ET,23.432,ORL
SF/PF,Kawhi Leonard,6000,ORL@SA 03/13/2018 08:30PM ET,31.278000000000002,SA
SG/SF,Josh Jackson,5900,CLE@PHO 03/13/2018 10:00PM ET,21.081,PHO
C,Jonas Valanciunas,5900,TOR@BKN 03/13/2018 07:30PM ET,26.616999999999997,TOR
SF/PF,Robert Covington,5900,IND@PHI 03/13/2018 07:00PM ET,27.496,PHI
SF/PF,Carmelo Anthony,5800,OKC@ATL 03/13/2018 07:30PM ET,29.069000000000003,OKC
PF,Lauri Markkanen,5800,LAC@CHI 03/13/2018 08:00PM ET,29.241999999999997,CHI
SF/PF,Danilo Gallinari,5800,LAC@CHI 03/13/2018 08:00PM ET,27.224,LAC
SG/SF,Joe Ingles,5800,DET@UTA 03/13/2018 09:00PM ET,25.631,UTA
C,Brook Lopez,5800,DEN@LAL 03/13/2018 10:30PM ET,23.362,LAL
PG,Dejounte Murray,5800,ORL@SA 03/13/2018 08:30PM ET,20.892,SA
PG,Rajon Rondo,5800,CHA@NO 03/13/2018 08:00PM ET,25.995,NO
PF/C,Dwight Powell,5700,DAL@NY 03/13/2018 07:30PM ET,19.254,DAL
PG/SF,Kyle Anderson,5700,ORL@SA 03/13/2018 08:30PM ET,23.487,SA
PF/C,Rondae Hollis-Jefferson,5600,TOR@BKN 03/13/2018 07:30PM ET,28.193,BKN
PF/C,Taj Gibson,5600,MIN@WAS 03/13/2018 07:00PM ET,26.265,MIN
PG/SG,Spencer Dinwiddie,5500,TOR@BKN 03/13/2018 07:30PM ET,30.17,BKN
SF/PF,DeMarre Carroll,5500,TOR@BKN 03/13/2018 07:30PM ET,27.875,BKN
PG/SG,J.J. Barea,5500,DAL@NY 03/13/2018 07:30PM ET,25.741999999999997,DAL
SF/PF,Mario Hezonja,5500,ORL@SA 03/13/2018 08:30PM ET,17.846,ORL
PF/C,John Collins,5400,OKC@ATL 03/13/2018 07:30PM ET,23.664,ATL
SF/PF,Michael Beasley,5400,DAL@NY 03/13/2018 07:30PM ET,22.791999999999998,NY
PF/C,Dirk Nowitzki,5400,DAL@NY 03/13/2018 07:30PM ET,24.833000000000002,DAL
PG/SG,Tomas Satoransky,5400,MIN@WAS 03/13/2018 07:00PM ET,17.069000000000003,WAS
PF/C,Dewayne Dedmon,5300,OKC@ATL 03/13/2018 07:30PM ET,23.979,ATL
PF/C,Montrezl Harrell,5300,LAC@CHI 03/13/2018 08:00PM ET,18.449,LAC
PF/C,Serge Ibaka,5300,TOR@BKN 03/13/2018 07:30PM ET,24.991999999999997,TOR
SF/PF,Markieff Morris,5300,MIN@WAS 03/13/2018 07:00PM ET,23.522,WAS
SG/SF,Kent Bazemore,5200,OKC@ATL 03/13/2018 07:30PM ET,26.976999999999997,ATL
SG/SF,Bojan Bogdanovic,5200,IND@PHI 03/13/2018 07:00PM ET,22.851999999999997,IND
PG/SG,George Hill,5100,CLE@PHO 03/13/2018 10:00PM ET,20.241,CLE
SF/PF,Wilson Chandler,5100,DEN@LAL 03/13/2018 10:30PM ET,21.504,DEN
PG/SF,Caris LeVert,5100,TOR@BKN 03/13/2018 07:30PM ET,25.039,BKN
PF/C,Derrick Favors,5000,DET@UTA 03/13/2018 09:00PM ET,26.46,UTA
SG/SF,Reggie Bullock,5000,DET@UTA 03/13/2018 09:00PM ET,18.392,DET
PG,Reggie Jackson,5000,DET@UTA 03/13/2018 09:00PM ET,27.189,DET
PG/SG,Jordan Clarkson,5000,CLE@PHO 03/13/2018 10:00PM ET,23.865,CLE
PG,Emmanuel Mudiay,5000,DAL@NY 03/13/2018 07:30PM ET,17.844,NY
SG/SF,Wesley Matthews,5000,DAL@NY 03/13/2018 07:30PM ET,24.23,DAL
SG/SF,JJ Redick,5000,IND@PHI 03/13/2018 07:00PM ET,26.426,PHI
SG/SF,Evan Fournier,5000,ORL@SA 03/13/2018 08:30PM ET,28.553,ORL
PG/SG,Milos Teodosic,4900,LAC@CHI 03/13/2018 08:00PM ET,21.708000000000002,LAC
PG,Ish Smith,4900,DET@UTA 03/13/2018 09:00PM ET,22.151999999999997,DET
SG/SF,Allen Crabbe,4900,TOR@BKN 03/13/2018 07:30PM ET,23.111,BKN
PG/SG,Trey Burke,4900,DAL@NY 03/13/2018 07:30PM ET,18.345,NY
PG,Darren Collison,4900,IND@PHI 03/13/2018 07:00PM ET,27.458000000000002,IND
PG/SG,D.J. Augustin,4900,ORL@SA 03/13/2018 08:30PM ET,18.9,ORL
SF/PF,Thaddeus Young,4800,IND@PHI 03/13/2018 07:00PM ET,25.97,IND
SF/PF,Rudy Gay,4800,ORL@SA 03/13/2018 08:30PM ET,22.333000000000002,SA
SG/SF,Denzel Valentine,4700,LAC@CHI 03/13/2018 08:00PM ET,23.455,CHI
C,Jarrett Allen,4700,TOR@BKN 03/13/2018 07:30PM ET,17.815,BKN
PF/C,Kyle O'Quinn,4700,DAL@NY 03/13/2018 07:30PM ET,19.515,NY
SG/SF,Rodney Hood,4600,CLE@PHO 03/13/2018 10:00PM ET,23.69,CLE
PF/C,Domantas Sabonis,4600,IND@PHI 03/13/2018 07:00PM ET,26.15,IND
SG/SF,Kelly Oubre Jr.,4600,MIN@WAS 03/13/2018 07:00PM ET,22.261,WAS
C,Tyson Chandler,4500,CLE@PHO 03/13/2018 10:00PM ET,20.967,PHO
PG,Cory Joseph,4500,IND@PHI 03/13/2018 07:00PM ET,19.09,IND
C,Marcin Gortat,4500,MIN@WAS 03/13/2018 07:00PM ET,23.06,WAS
SG/SF,David Nwaba,4400,LAC@CHI 03/13/2018 08:00PM ET,17.278,CHI
SF/PF,Jae Crowder,4400,DET@UTA 03/13/2018 09:00PM ET,17.477,UTA
PG/SG,Fred VanVleet,4400,TOR@BKN 03/13/2018 07:30PM ET,18.504,TOR
PG/SG,Yogi Ferrell,4400,DAL@NY 03/13/2018 07:30PM ET,19.612000000000002,DAL
SF/PF,Davis Bertans,4400,ORL@SA 03/13/2018 08:30PM ET,13.206,SA
PF/C,Frank Kaminsky,4400,CHA@NO 03/13/2018 08:00PM ET,19.676,CHA
SG/SF,James Ennis III,4300,DET@UTA 03/13/2018 09:00PM ET,15.404000000000002,DET
PG/SG,Patty Mills,4300,ORL@SA 03/13/2018 08:30PM ET,17.743,SA
PG/SG,Shelvin Mack,4300,ORL@SA 03/13/2018 08:30PM ET,15.931,ORL
SG/SF,Jeremy Lamb,4300,CHA@NO 03/13/2018 08:00PM ET,23.989,CHA
SG/SF,E'Twaun Moore,4300,CHA@NO 03/13/2018 08:00PM ET,21.291999999999998,NO
SG/SF,J.R. Smith,4200,CLE@PHO 03/13/2018 10:00PM ET,17.453,CLE
PF,Pascal Siakam,4200,TOR@BKN 03/13/2018 07:30PM ET,18.035,TOR
SG/SF,Lance Stephenson,4200,IND@PHI 03/13/2018 07:00PM ET,21.198,IND
SG/SF,Danny Green,4200,ORL@SA 03/13/2018 08:30PM ET,19.945,SA
SF/PF,Marvin Williams,4200,CHA@NO 03/13/2018 08:00PM ET,19.611,CHA
PG/SG,Tyler Dorsey,4100,OKC@ATL 03/13/2018 07:30PM ET,10.805,ATL
SG,Troy Daniels,4100,CLE@PHO 03/13/2018 10:00PM ET,12.657,PHO
C,Alex Len,4100,CLE@PHO 03/13/2018 10:00PM ET,21.435,PHO
SF/PF,Ersan Ilyasova,4100,IND@PHI 03/13/2018 07:00PM ET,22.087,PHI
PG/SG,Avery Bradley,4000,LAC@CHI 03/13/2018 08:00PM ET,22.761,LAC
SG/SF,Stanley Johnson,4000,DET@UTA 03/13/2018 09:00PM ET,18.358,DET
PF/C,Dragan Bender,4000,CLE@PHO 03/13/2018 10:00PM ET,15.195,PHO
PF/C,Tristan Thompson,4000,CLE@PHO 03/13/2018 10:00PM ET,16.595,CLE
PF/C,Mason Plumlee,4000,DEN@LAL 03/13/2018 10:30PM ET,20.873,DEN
SG/SF,Josh Hart,4000,DEN@LAL 03/13/2018 10:30PM ET,15.318,LAL
SG/SF,Corey Brewer,3900,OKC@ATL 03/13/2018 07:30PM ET,9.398,OKC
SF/PF,Jeff Green,3900,CLE@PHO 03/13/2018 10:00PM ET,17.861,CLE
PG,Tyler Ulis,3900,CLE@PHO 03/13/2018 10:00PM ET,16.456,PHO
SG,Jamal Crawford,3900,MIN@WAS 03/13/2018 07:00PM ET,16.485,MIN
PG,Tony Parker,3900,ORL@SA 03/13/2018 08:30PM ET,17.494,SA
PF/C,Cheick Diallo,3900,CHA@NO 03/13/2018 08:00PM ET,10.095,NO
PF/C,Mike Muscala,3800,OKC@ATL 03/13/2018 07:30PM ET,15.309000000000001,ATL
SF/PF,Jerami Grant,3800,OKC@ATL 03/13/2018 07:30PM ET,16.614,OKC
PG/SG,Cameron Payne,3800,LAC@CHI 03/13/2018 08:00PM ET,18.194000000000003,CHI
SG/SF,Justin Holiday,3800,LAC@CHI 03/13/2018 08:00PM ET,25.462,CHI
PF/C,Marquese Chriss,3800,CLE@PHO 03/13/2018 10:00PM ET,17.938,PHO
SF/PF,Trey Lyles,3800,DEN@LAL 03/13/2018 10:30PM ET,20.934,DEN
PF/C,Jakob Poeltl,3800,TOR@BKN 03/13/2018 07:30PM ET,16.708,TOR
SG/SF,C.J. Miles,3800,TOR@BKN 03/13/2018 07:30PM ET,16.871,TOR
C,Nerlens Noel,3800,DAL@NY 03/13/2018 07:30PM ET,13.83,DAL
PG,Isaiah Taylor,3700,OKC@ATL 03/13/2018 07:30PM ET,11.700999999999999,ATL
SG/SF,Davon Reed,3700,CLE@PHO 03/13/2018 10:00PM ET,7.1,PHO
SG/SF,Joe Harris,3700,TOR@BKN 03/13/2018 07:30PM ET,18.75,BKN
SF,Doug McDermott,3700,DAL@NY 03/13/2018 07:30PM ET,13.444,DAL
PG,T.J. McConnell,3700,IND@PHI 03/13/2018 07:00PM ET,20.093,PHI
SG/SF,Manu Ginobili,3700,ORL@SA 03/13/2018 08:30PM ET,16.897000000000002,SA
SF/PF,Jonathan Isaac,3700,ORL@SA 03/13/2018 08:30PM ET,14.274000000000001,ORL
C,Emeka Okafor,3700,CHA@NO 03/13/2018 08:00PM ET,16.042,NO
SF/PF,Darius Miller,3700,CHA@NO 03/13/2018 08:00PM ET,14.265,NO
SF,Michael Kidd-Gilchrist,3700,CHA@NO 03/13/2018 08:00PM ET,18.369,CHA
SG/SF,Luke Kennard,3600,DET@UTA 03/13/2018 09:00PM ET,12.86,DET
SG/SF,Kyle Korver,3600,CLE@PHO 03/13/2018 10:00PM ET,15.902000000000001,CLE
PG/SG,Frank Ntilikina,3600,DAL@NY 03/13/2018 07:30PM ET,14.445,NY
SG/SF,Courtney Lee,3600,DAL@NY 03/13/2018 07:30PM ET,23.142,NY
PF/C,Richaun Holmes,3600,IND@PHI 03/13/2018 07:00PM ET,15.147,PHI
