21,1055444516,Smoke22,132.8,Mike Trout,OF,20.00,26,P Jacob deGrom P Luis Castillo 2B Jose Altuve OF George Springer SS Carlos Correa 3B Alex Bregman OF Justin Upton C Evan Gattis 1B Matt Adams OF Rajai Davis
22,1055557528,Awesemo (4/5),130.55,Michael Wacha,P,17.06,1.7,P Carlos Carrasco P Lance McCullers Jr. 2B Jose Altuve 3B Josh Donaldson OF Marwin Gonzalez C Evan Gattis 1B Justin Smoak SS Aledmys Diaz OF Randal Grichuk OF Kevin Pillar
22,1055641827,cory585,130.55,Matt Olson,1B,15.29,6,P Stephen Strasburg P Michael Wacha 2B Jose Altuve OF George Springer 3B Anthony Rendon OF Khris Davis 1B Justin Smoak C Matt Wieters OF Matt Adams SS Yangervis Solarte
24,1055541421,Dapokerninja,130.5,Carlos Carrasco,P,13.53,10.55,P Lance McCullers Jr. P James Paxton 2B Jose Altuve OF George Springer SS Carlos Correa 3B Alex Bregman OF Jay Bruce C Travis d'Arnaud OF Randal Grichuk 1B Matt Adams
25,1055595822,marcf,129.6,Khris Davis,OF,12.94,14,P Carlos Carrasco P Luis Castillo 2B Jose Altuve OF George Springer SS Carlos Correa OF Yoenis Cespedes OF Jay Bruce 3B Todd Frazier 1B Adrian Gonzalez C Travis d'Arnaud
26,1055486582,jaker1soe,128.75,Yangervis Solarte,2B,12.94,14,P Jacob deGrom P Lance McCullers Jr. OF George Springer 3B Josh Donaldson SS Marwin Gonzalez C Evan Gattis 1B Justin Smoak OF Randal Grichuk OF Steve Pearce 2B Yangervis Solarte
27,1055595543,bric75 (3/4),128.25,J.D. Davis,3B,12.35,0,P Jacob deGrom P James Paxton SS Carlos Correa 3B Alex Bregman OF Joey Gallo OF Marwin Gonzalez 2B Howie Kendrick C Brian McCann OF Jake Marisnick 1B Matt Adams
28,1055362276,ChipotleAddict (2/5),127.8,Lance McCullers Jr.,P,12.35,29,P Jacob deGrom P Luis Castillo OF Giancarlo Stanton OF Aaron Judge SS Carlos Correa 3B Alex Bregman C Evan Gattis 2B Neil Walker OF Jake Marisnick 1B Tyler Austin
29,1055516378,Smoltzjr,127.55,Matt Joyce,OF,11.76,0,P James Paxton P Luis Castillo OF Mike Trout 2B Jose Altuve OF George Springer SS Carlos Correa 3B Alex Bregman OF Khris Davis C Evan Gattis 1B Justin Smoak
30,1055589693,clivebixby,126.8,Bryce Harper,OF,11.18,6,P Jacob deGrom P Luis Castillo 2B Jose Altuve OF George Springer SS Carlos Correa 3B Alex Bregman OF Marwin Gonzalez 1B Adrian Gonzalez C Travis d'Arnaud OF Juan Lagares
31,1055310250,wakeywakey (1/3),125.8,Billy McKinney,OF,10.00,0,P Jacob deGrom P Luis Castillo OF Mike Trout C Gary Sanchez OF Justin Upton SS Zack Cozart 3B Josh Donaldson OF Kole Calhoun 1B Albert Pujols 2B Yangervis Solarte
32,1055367395,youdacao (1/5),125.6,Joey Gallo,OF,8.24,0,P Carlos Carrasco P Luis Castillo OF Mike Trout 2B Jose Altuve OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak OF Steve Pearce
32,1055651085,GrindersCal (2/2),125.6,Jed Lowrie,2B,8.24,7,P Carlos Carrasco P Luis Castillo OF Mike Trout 2B Jose Altuve OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak OF Steve Pearce
34,1055331796,madoublet98,124.8,Zack Cozart,SS,7.06,23,P Jacob deGrom P Luis Castillo OF Mike Trout OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak 2B Neil Walker OF Steve Pearce
34,1055428414,LionKing1957,124.8,Brian McCann,C,7.06,14,P Jacob deGrom P Luis Castillo OF Mike Trout OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak 2B Neil Walker OF Steve Pearce
36,1055389659,moklovin (1/3),123.8,Tyler Austin,1B,6.47,30,P Jacob deGrom P Luis Castillo 2B Jose Altuve OF George Springer SS Carlos Correa 3B Josh Donaldson C Evan Gattis 1B Justin Smoak OF Matt Joyce OF Steve Pearce
37,1055521916,monds6 (3/5),123.6,Travis d'Arnaud,C,5.88,16,P Jacob deGrom P Stephen Strasburg 2B Jose Altuve 3B Josh Donaldson 1B Justin Smoak OF Stephen Piscotty OF Randal Grichuk OF Steve Pearce C Bruce Maxwell SS Yangervis Solarte
38,1055624617,anilprao88 (4/5),122.2,Marcus Semien,SS,5.29,5,P James Paxton P Michael Wacha OF Bryce Harper SS Trea Turner OF George Springer 3B Alex Bregman OF Adam Eaton 2B Howie Kendrick C Brian McCann 1B Matt Adams
39,1055557526,Awesemo (2/5),121.45,Justin Upton,OF,5.29,9,P Jacob deGrom P Michael Wacha OF George Springer SS Carlos Correa 3B Alex Bregman OF Marwin Gonzalez 1B Justin Smoak C Brian McCann OF Steve Pearce 2B Yangervis Solarte
40,1055315374,felder15 (1/3),120.8,Mike Marjama,C,5.29,0,P Jacob deGrom P Luis Castillo OF Aaron Judge OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak 2B Neil Walker OF Kevin Pillar
41,1055583740,isupol (3/3),120.6,Kole Calhoun,OF,5.29,0,P Jacob deGrom P Stephen Strasburg 3B Josh Donaldson SS Marcus Semien 1B Justin Smoak 2B Jed Lowrie OF Randal Grichuk OF Kevin Pillar OF Steve Pearce C Bruce Maxwell
42,1055625455,BigT44,119.8,Anthony Rendon,3B,5.29,5,P Jacob deGrom P Luis Castillo 2B Jose Altuve OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak OF Randal Grichuk OF Steve Pearce
43,1055311369,ejs39861,119.55,Matt Shoemaker,P,4.71,13.95,P James Paxton P Luis Castillo OF Mike Trout 2B Jose Altuve OF George Springer SS Carlos Correa 3B Alex Bregman OF Justin Upton C Evan Gattis 1B Albert Pujols
44,1055510369,davewiff (4/4),118.25,Howie Kendrick,2B,4.71,8,P Jacob deGrom P James Paxton OF George Springer SS Carlos Correa 3B Josh Donaldson C Evan Gattis 1B Justin Smoak OF Randal Grichuk OF Steve Pearce 2B Yangervis Solarte
45,1055310251,wakeywakey (2/3),118.05,Kevin Pillar,OF,4.71,24,P Carlos Carrasco P James Paxton OF Bryce Harper SS Trea Turner 3B Anthony Rendon OF Adam Eaton C Evan Gattis 2B Neil Walker OF Steve Pearce 1B Matt Adams
46,1055452781,theOGking_tay,117.9,Jake Marisnick,OF,4.71,18,P Stephen Strasburg P Luis Castillo OF Aaron Judge 2B Jose Altuve C Gary Sanchez 1B Matt Olson 3B Josh Donaldson SS Marwin Gonzalez OF Jake Marisnick OF Kevin Pillar
47,1055609293,DraftCheat (1/2),117.8,Brandon Drury,3B,4.12,4,P Stephen Strasburg P Matt Shoemaker 2B Jose Altuve OF George Springer 3B Alex Bregman SS Marwin Gonzalez 1B Justin Smoak OF Jose Martinez C Brian McCann OF Steve Pearce
47,1055648630,no1cdib,117.8,Jay Bruce,OF,3.53,2,P Stephen Strasburg P Daniel Mengden 2B Jose Altuve OF George Springer SS Carlos Correa OF Khris Davis 1B Matt Olson C Evan Gattis 3B J.D. Davis OF Billy McKinney
49,1055602537,Dinkpiece,116.5,Todd Frazier,3B,3.53,13,P Lance McCullers Jr. P James Paxton 2B Jose Altuve OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak OF Randal Grichuk OF Steve Pearce
50,1055363733,bcassidy13,115.6,Albert Pujols,1B,3.53,12,P Carlos Carrasco P Luis Castillo OF Mike Trout 2B Jose Altuve OF George Springer 3B Alex Bregman OF Justin Upton SS Didi Gregorius 1B Justin Smoak C Travis d'Arnaud
51,1055367397,youdacao (3/5),115.25,Trea Turner,SS,3.53,21,P Jacob deGrom P James Paxton OF Mike Trout 2B Jose Altuve 3B Alex Bregman C Evan Gattis 1B Justin Smoak OF Randal Grichuk OF Steve Pearce SS Yangervis Solarte
51,1055645107,PetrGibbons,115.25,Adam Eaton,OF,3.53,40,P Jacob deGrom P James Paxton OF Mike Trout OF George Springer 3B Josh Donaldson C Evan Gattis 1B Justin Smoak 2B Neil Walker OF Randal Grichuk SS Yangervis Solarte
53,1055431832,Sqweatybalz,115.1,Scooter Gennett,2B,3.53,8,P CC Sabathia P Luis Castillo OF Giancarlo Stanton OF Mike Trout OF Aaron Judge 2B Jose Altuve SS Carlos Correa C Gary Sanchez 3B Alex Bregman 1B Justin Smoak
54,1055521918,monds6 (5/5),114.9,Matt Wieters,C,3.53,7,P Stephen Strasburg P Luis Castillo 2B Jose Altuve OF George Springer SS Carlos Correa 3B Alex Bregman 1B Matt Olson OF Matt Joyce OF Jake Marisnick C Bruce Maxwell
55,1055416564,mw0315,114.8,Elvis Andrus,SS,3.53,23,P Jacob deGrom P Luis Castillo 2B Jose Altuve OF George Springer 3B Alex Bregman OF Joey Gallo SS Elvis Andrus C Evan Gattis 1B Justin Smoak OF Nomar Mazara
55,1055648906,bw5126,114.8,CC Sabathia,P,3.53,13.05,P Jacob deGrom P Luis Castillo OF Giancarlo Stanton OF Mike Trout 2B Jose Altuve C Gary Sanchez SS Didi Gregorius 3B Brandon Drury 1B Matt Adams OF Billy McKinney
