Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
23,1090553132,cewrazen (2/3),0,107.75,P Gio Gonzalez P Joey Lucchesi SS Manny Machado OF Mitch Haniger 3B Mike Moustakas C Salvador Perez OF Aaron Altherr OF Adam Jones 1B Justin Smoak 2B Jonathan Schoop,,Trea Turner,SS,15.09%,2
24,1090190643,PetrGibbons (2/2),0,107.15,P Gio Gonzalez P Alex Wood SS Manny Machado 3B Josh Donaldson OF Teoscar Hernández OF Adam Jones OF Trey Mancini 1B Justin Smoak 2B Jonathan Schoop C Russell Martin,,Rick Porcello,P,14.15%,0.8
24,1090397011,bh9999 (1/3),0,107.15,P Gio Gonzalez P Alex Wood SS Manny Machado 3B Josh Donaldson OF Teoscar Hernández OF Adam Jones OF Trey Mancini 1B Justin Smoak 2B Jonathan Schoop C Russell Martin,,Mark Trumbo,OF,14.15%,7
24,1090517330,Bozie11,0,107.15,P Gio Gonzalez P Alex Wood SS Manny Machado 3B Josh Donaldson OF Teoscar Hernández OF Adam Jones OF Trey Mancini 1B Justin Smoak 2B Jonathan Schoop C Russell Martin,,Odúbel Herrera,OF,14.15%,10
27,1090187748,PetrGibbons (1/2),0,106.45,P Masahiro Tanaka P Alex Wood OF Aaron Judge OF Giancarlo Stanton C Gary Sánchez SS Didi Gregorius 3B Mike Moustakas 1B Lucas Duda OF Alex Gordon 2B Neil Walker,,Jorge Soler,OF,13.21%,7
28,1090087056,Shooter-McGavin,0,104.9,P Patrick Corbin P Nick Pivetta SS Trea Turner OF Teoscar Hernández 3B Anthony Rendon OF Mark Trumbo 2B Howie Kendrick 1B Ryan Zimmerman OF José Bautista C Tyler Flowers,,Andrew McCutchen,OF,13.21%,3
29,1090273293,gentlaw2,0,103.95,P Julio Teheran P Nick Pivetta 2B Ozzie Albies OF A.J. Pollock SS Manny Machado OF Mitch Haniger 3B Mike Moustakas OF Adam Jones 1B Ryan Zimmerman C Mike Zunino,,Mike Zunino,C,12.26%,0
30,1090049558,ChipotleAddict (2/3),0,102.9,P Patrick Corbin P Nick Pivetta SS Manny Machado 3B Mike Moustakas C Salvador Perez OF Adam Jones OF Trey Mancini 2B Jonathan Schoop 1B Lucas Duda OF Jon Jay,,Ozzie Albies,2B,12.26%,5
31,1090553730,cewrazen (3/3),0,102.55,P Julio Teheran P Alex Wood SS Manny Machado 3B Josh Donaldson OF Mitch Haniger OF Nelson Cruz 1B Brandon Belt C Wilson Ramos OF Adam Jones 2B Jonathan Schoop,,Aaron Judge,OF,12.26%,30
32,1090068815,scout326 (3/3),0,99.7,P Patrick Corbin P Eric Skoglund 2B Ozzie Albies OF Ronald Acuña Jr. 3B Maikel Franco C Buster Posey 1B Carlos Santana OF Aaron Altherr OF José Bautista SS Alen Hanson,,J.D. Martinez,OF,11.32%,8
