OF,Tony Kemp,L,hou
OF,Trayce Thompson,R,cws
OF,Tyler O'Neill,R,stl
P,Blaine Hardy,L,det
P,Chris Sale,L,bos
P,Cole Hamels,L,tex
P,Elieser Hernandez,R,mia
P,Garrett Richards,R,laa
P,German Marquez,R,col
P,Gerrit Cole,R,hou
P,J.A. Happ,L,tor
P,James Shields,R,cws
P,Jameson Taillon,R,pit
P,Jason Hammel,R,kan
P,Jhoulys Chacin,R,mil
P,Kevin Gausman,R,bal
P,Masahiro Tanaka,R,nyy
P,Matt Harvey,R,cin
P,Mike Foltynewicz,R,atl
P,Miles Mikolas,R,stl
P,Nick Pivetta,R,phi
P,Sergio Romo,R,tam
P,Stephen Strasburg,R,was
P,Trevor Bauer,R,cle
P,Zack Wheeler,R,nym
SS,Alcides Escobar,R,kan
SS,Amed Rosario,R,nym
SS,Andrelton Simmons,R,laa
SS,Carlos Correa,R,hou
SS,Dansby Swanson,R,atl
SS,Didi Gregorius,L,nyy
SS,Francisco Lindor,S,cle
SS,Jordy Mercer,R,pit
SS,Jose Iglesias,R,det
SS,Jose Peraza,R,cin
SS,Jurickson Profar,S,tex
SS,Manny Machado,R,bal
SS,Miguel Rojas,R,mia
SS,Ramon Torres,S,kan
SS,Tim Anderson,R,cws
SS,Trea Turner,R,was
SS,Trevor Story,R,col
SS,Xander Bogaerts,R,bos
SS,Yairo Munoz,R,stl
P,Gio Gonzalez,L,was
P,Aaron Sanchez,R,tor
P,Justin Verlander,R,hou
P,Jacob deGrom,R,nym
P,Tyler Skaggs,L,laa
P,Mike Montgomery,L,chc
P,Luke Weaver,R,stl
P,Chris Archer,R,tam
P,Homer Bailey,R,cin
P,Dylan Covey,R,cws
P,Caleb Smith,L,mia
P,Doug Fister,R,tex
P,Andrew Suarez,L,sfo
P,Lance Lynn,R,min
P,Vince Velasquez,R,phi
P,Alex Cobb,R,bal
P,David Price,L,bos
P,Domingo German,R,nyy
P,Matthew Boyd,L,det
P,Chad Kuhl,R,pit
P,Brent Suter,L,mil
P,Trevor Cahill,R,oak
P,Matt Koch,R,ari
P,Adam Plutko,R,cle
P,Eric Lauer,L,sdg
P,Marco Gonzales,L,sea
P,Chad Bettis,R,col
P,Jakob Junis,R,kan
P,Brock Stewart,R,lad
P,Max Fried,L,atl
P,Andrew Heaney,L,laa
P,Sam Gaviglio,R,tor
P,John Gant,R,stl
P,Julio Teheran,R,atl
P,Dallas Keuchel,L,hou
P,Reynaldo Lopez,R,cws
P,Max Scherzer,R,was
P,David Hess,R,bal
P,Eric Skoglund,L,kan
P,Noah Syndergaard,R,nym
P,Sal Romano,R,cin
P,Patrick Corbin,L,ari
P,Clayton Richard,L,sdg
P,Fernando Romero,R,min
P,Luis Severino,R,nyy
P,Zach Eflin,R,phi
P,Joe Musgrove,R,pit
P,Eduardo Rodriguez,L,bos
P,Corey Kluber,R,cle
P,Mike Fiers,R,det
P,Jose Urena,R,mia
P,Sergio Romo,R,tam
P,Mike Minor,L,tex
P,Junior Guerra,R,mil
P,Jon Gray,R,col
P,Sean Manaea,L,oak
P,Ross Stripling,R,lad
P,James Paxton,L,sea
P,Rick Porcello,R,bos
P,Danny Duffy,L,kan
P,Steven Matz,L,nym
P,Blake Snell,L,tam
P,Austin Bibens-Dirkx,R,tex
P,Zach Davies,R,mil
P,Clay Buchholz,R,ari
P,Jaime Garcia,L,tor
P,Jack Flaherty,R,stl
P,Ian Kennedy,R,kan
P,Hector Santiago,L,cws
P,Tanner Roark,R,was
P,Jason Vargas,L,nym
P,Andrew Cashner,R,bal
P,Daniel Mengden,R,oak
P,Aaron Nola,R,phi
P,Trevor Williams,R,pit
P,Bartolo Colon,R,tex
P,Francisco Liriano,L,det
P,Wei-Yin Chen,L,mia
P,Chase Anderson,R,mil
P,Ryne Stanek,R,tam
P,Chris Stratton,R,sfo
P,Lance McCullers Jr.,R,hou
P,Jaime Barria,R,laa
P,Tyler Mahle,R,cin
P,Jordan Lyles,R,sdg
P,Jake Odorizzi,R,min
P,Jose Quintana,L,chc
P,Carlos Carrasco,R,cle
P,Sonny Gray,R,nyy
P,Tyler Anderson,L,col
P,Alex Wood,L,lad
P,Wade LeBlanc,L,sea
