Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,Player,RosterPosition,PercentDrafted,FTPS,EntryFee,Winnings
22,1055641827,cory585,0,130.55,P Stephen Strasburg P Michael Wacha 2B José Altuve OF George Springer 3B Anthony Rendon OF Khris Davis 1B Justin Smoak C Matt Wieters OF Matt Adams SS Yangervis Solarte,Matt Olson,1B,15.29,6.0,333,0
24,1055541421,Dapokerninja,0,130.5,P Lance McCullers Jr. P James Paxton 2B José Altuve OF George Springer SS Carlos Correa 3B Alex Bregman OF Jay Bruce C Travis d'Arnaud OF Randal Grichuk 1B Matt Adams,Carlos Carrasco,P,13.53,10.55,333,0
25,1055595822,marcf,0,129.6,P Carlos Carrasco P Luis Castillo 2B José Altuve OF George Springer SS Carlos Correa OF Yoenis Céspedes OF Jay Bruce 3B Todd Frazier 1B Adrián González C Travis d'Arnaud,Khris Davis,OF,12.94,14.0,333,0
26,1055486582,jaker1soe,0,128.75,P Jacob deGrom P Lance McCullers Jr. OF George Springer 3B Josh Donaldson SS Marwin González C Evan Gattis 1B Justin Smoak OF Randal Grichuk OF Steve Pearce 2B Yangervis Solarte,Yangervis Solarte,2B,12.94,14.0,333,0
27,1055595543,bric75 (3/4),0,128.25,P Jacob deGrom P James Paxton SS Carlos Correa 3B Alex Bregman OF Joey Gallo OF Marwin González 2B Howie Kendrick C Brian McCann OF Jake Marisnick 1B Matt Adams,J.D. Davis,3B,12.35,0.0,333,0
28,1055362276,ChipotleAddict (2/5),0,127.8,P Jacob deGrom P Luis Castillo OF Giancarlo Stanton OF Aaron Judge SS Carlos Correa 3B Alex Bregman C Evan Gattis 2B Neil Walker OF Jake Marisnick 1B Tyler Austin,Lance McCullers Jr.,P,12.35,29.0,333,0
29,1055516378,Smoltzjr,0,127.55,P James Paxton P Luis Castillo OF Mike Trout 2B José Altuve OF George Springer SS Carlos Correa 3B Alex Bregman OF Khris Davis C Evan Gattis 1B Justin Smoak,Matt Joyce,OF,11.76,0.0,333,0
30,1055589693,clivebixby,0,126.8,P Jacob deGrom P Luis Castillo 2B José Altuve OF George Springer SS Carlos Correa 3B Alex Bregman OF Marwin González 1B Adrián González C Travis d'Arnaud OF Juan Lagares,Bryce Harper,OF,11.18,6.0,333,0
31,1055310250,wakeywakey (1/3),0,125.8,P Jacob deGrom P Luis Castillo OF Mike Trout C Gary Sánchez OF Justin Upton SS Zack Cozart 3B Josh Donaldson OF Kole Calhoun 1B Albert Pujols 2B Yangervis Solarte,Billy McKinney,OF,10.00,0.0,333,0
32,1055367395,youdacao (1/5),0,125.6,P Carlos Carrasco P Luis Castillo OF Mike Trout 2B José Altuve OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak OF Steve Pearce,Joey Gallo,OF,8.24,0.0,333,0
