"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","Sean Kilpatrick",3000,"LAC@HOU 03/15/2018 08:00PM ET",7.875,"LAC"
"SG","C.J. Williams",3000,"LAC@HOU 03/15/2018 08:00PM ET",12.955,"LAC"
"SG","Tyrone Wallace",3000,"LAC@HOU 03/15/2018 08:00PM ET",21.288,"LAC"
"PG/SG","Patrick Beverley",3000,"LAC@HOU 03/15/2018 08:00PM ET",25.977,"LAC"
"PF/C","Zhou Qi",3000,"LAC@HOU 03/15/2018 08:00PM ET",3.518,"HOU"
"PG/SG","Markel Brown",3000,"LAC@HOU 03/15/2018 08:00PM ET",3.438,"HOU"
"SG","R.J. Hunter",3000,"LAC@HOU 03/15/2018 08:00PM ET",2.125,"HOU"
"C","Chinanu Onuaku",3000,"LAC@HOU 03/15/2018 08:00PM ET",0,"HOU"
"PG/SG","Langston Galloway",3000,"DET@DEN 03/15/2018 09:00PM ET",11.368,"DET"
"PF/C","Jon Leuer",3000,"DET@DEN 03/15/2018 09:00PM ET",11.875,"DET"
"PG","Kay Felder",3000,"DET@DEN 03/15/2018 09:00PM ET",7.554,"DET"
"SG","Reggie Hearn",3000,"DET@DEN 03/15/2018 09:00PM ET",1.75,"DET"
"PG/SG","Jameer Nelson",3000,"DET@DEN 03/15/2018 09:00PM ET",13.89,"DET"
"PF/C","Henry Ellenson",3000,"DET@DEN 03/15/2018 09:00PM ET",5.683,"DET"
"SF/PF","Richard Jefferson",3000,"DET@DEN 03/15/2018 09:00PM ET",3.895,"DEN"
"PF","Tyler Lydon",3000,"DET@DEN 03/15/2018 09:00PM ET",0,"DEN"
"PG","Monte Morris",3000,"DET@DEN 03/15/2018 09:00PM ET",9.5,"DEN"
"PF/C","Kenneth Faried",3000,"DET@DEN 03/15/2018 09:00PM ET",14.039,"DEN"
"PF","Matt Costello",3000,"NO@SA 03/15/2018 08:30PM ET",6.438,"SA"
"SG/SF","Darrun Hilliard",3000,"NO@SA 03/15/2018 08:30PM ET",3.089,"SA"
"SG/SF","DeAndre Liggins",3000,"NO@SA 03/15/2018 08:30PM ET",7.37,"NO"
"SG","Charles Cooke",3000,"NO@SA 03/15/2018 08:30PM ET",1.344,"NO"
"SF","Walt Lemon Jr.",3000,"NO@SA 03/15/2018 08:30PM ET",5.5,"NO"
"PF/C","DeMarcus Cousins",3000,"NO@SA 03/15/2018 08:30PM ET",55.729,"NO"
"PG/SG","Frank Jackson",3000,"NO@SA 03/15/2018 08:30PM ET",0,"NO"
"SF/PF","Solomon Hill",3000,"NO@SA 03/15/2018 08:30PM ET",0,"NO"
"C","Alexis Ajinca",3000,"NO@SA 03/15/2018 08:30PM ET",0,"NO"
